"","D1d0","D1d1","D1d2","D1d4","D1d5","D1d6","D1d7","D1d8","D1d9","D1d10","D1d11","D1d12","D1d13","D1d14","D1d15","D1d16","D1d17","D1d18","D1d21","D1d26","D1d28","D1d30","D1d32","D1d35","D1d42","D1d49","D1d56","D1d65","D1d74","D1d81","D1d87"
"1-Methylbicyclo(4.4.0)decane(trans)",0,0,0,0,0,0,0.002270281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Nonanol",0,0,0,0,0,0,0.008787176,0.0149918021666667,0.0336675545,0.0431059623333333,0.0392862903333333,0.027041798,0.0576229103,0.046982299,0.185795496666667,0.033733011,0.0298871393333333,0.021244609,0.0168858423666667,0,0,0,0,0,0,0.0354090388333333,0,0,0,0,0
"1-Nonen-3-ol",0,0,0,0,0,0,0,0,0,0.0188132983333333,0.008134597,0.012950447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Nonene",0,0,0,0,0,0,0,0,0,0,0,0.0127448433333333,0.0156778772666667,0,0,0,0,0,0,0,0.177140277233333,0,0,0,0,0,0,0,0,0,0
"1-Octanamine, N-methyl-",0,0,0,0,0,0,0.259900885,0.1761734408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0930027398,0,0,0,0,0,0
"1-Octanol",0,0,0,0,0,0,0.011711684,0.0154220520666667,0.0238160695,0.018408011,0.0270135263333333,0,0.0523426888666667,0.0529879143333333,0.200793972,0.0604812556666667,0.0680047673333333,0.0541837266666667,0.0793991629,0.0166078766333333,0.141479963066667,0.0121051356333333,0,0.00756554,0,0.118062466766667,0,0,0,0,0
"1-Octanol, 2-butyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00594397733333333,0,0,0,0,0,0,0,0,0.00968278366666667,0,0,0,0,0,0
"1-Octen-3-ol",0,0,0,0.0086356889,0,0,0,0.0449976378333333,0,0,0,0,0,0,0,0.316776899333333,0,0.127028187333333,0,0,0.4749377431,0,0,0,0,0,0,0,0.00727037863333333,0,0
"1-Octen-3-one",0,0,0,0,0,0.0109156414666667,0,0,0.023679534,0,0,0,0,0,0,0,0.0593846196666667,0,0.0550457508333333,0.0507407706666667,0,0,0.00327101233333333,0,0,0,0,0,0,0,0
"1-Octene",0,0,0,0,0,0.0156166099333333,0,0,0,0,0,0,0,0,0,0.0272262343333333,0,0.0482941036666667,0,0.0336800689,0.470232755166667,0,0,0,0,0,0,0,0,0,0
"1-Pentanol",0,0,0,0,0,0.047512951,0.15631723,0,0,0.372925951,0.577915035333333,0,0.8952476301,0.962828911333333,3.330382541,0.931168367,0.723745662666667,0,0.270687599133333,0,0,0.0484672105333333,0.0749153156666667,0,0,0,0,0,0,0,0
"1-Pentanol, 4-methyl-",0,0,0,0,0,0.00418362116666667,0.020145635,0.0117575431333333,0.027173308,0.0318331126666667,0.029246712,0.030884221,0,0.0348948803333333,0.117178557333333,0.0304534623333333,0,0.0135689086666667,0.0124748539666667,0,0.0361960483666667,0.0036596478,0,0.00310422646666667,0,0.0286017176666667,0,0,0,0,0
"1-Penten-3-ol",0,0,0,0,0,0,0,0,0.0496182645,0,0,0,0,0,0,0.107748219333333,0.109803706,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Pentene, 2,4-dimethyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0084235742,0,0,0,0,0,0,0,0,0,0,0,0
"1-Pentene, 2,4,4-trimethyl-",0,0,0,0,0,0,0,0,0,0,0.017969099,0,0,0,0,0.0364759236666667,0,0,0,0.0421201451333333,0,0,0,0,0,0,0,0,0,0.0176376031666667,0
"1-Pentene, 4-methyl-",0,0,0,0,0.00247602985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Pentylpyrrolidine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126988903333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Propanol",0,0,0,0,0,0,0,0,0,0,0,0,4.515252928,0,0,6.23462575266667,0,0,1.0624415293,0,0,0,0,0,0,0,0,0,0,0.289844860933333,0
"1-Propanol, 2-amino-, (±)-",0,0,0,0,0,0,0,0,0,0,0,0.325219501,0.595644237933333,0.227613055333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Propanol, 2-methyl-",0,0.0462815763333333,0,0.0893285704666667,0,0,0,0,1.2609873135,0,0.749844663333333,0,0,0.857796912666667,0,1.22938956166667,0.964511686,0,0.748678883733333,0,0,0.1453083969,0.105328710333333,0.0846555058,0.0315513651333333,0,0.0404080284333333,0,0,0.00888087426666667,0.0213098789666667
