"","foot1_SS2","foot1_SS3","foot1_SS4","foot1_SS5","foot1_SS6","foot2_SS2","foot2_SS3","foot2_SS4","foot2_SS5","foot2_SS6","foot3_SS5","foot3_SS6","foot4_SS5","foot4_SS6","foot5_SS2","foot5_SS3","foot5_SS4","foot5_SS5","foot5_SS6","foot6_SS5","foot6_SS6","foot7_SS5","foot7_SS6","foot8_SS4","foot8_SS5","foot8_SS6","foot9_SS4","foot9_SS5","foot9_SS6"
"2,5-Hexanediol, 2,5-dimethyl-",0,0,0,0.0084793514,0,0,0,0,0.00430612566666667,0.0057637418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2,5-Hexanedione",0,0,0,0,0,0.0024372192,0,0,0,0,0,0,0,0,0.0010043033,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2,6-Di-tert-butyl-4-hydroxy-4-methylcyclohexa-2,5-dien-1-one",0,0,0,0.0182481217666667,0,0,0,0,0.117507599666667,0,0.01789577505,0,0.01129787555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2,6-Dimethylbicyclo[3.2.1]octane",0,0,0,0,0,0,0,0,0,0,0.02339162135,0.126279192,0,0.062427871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2,6-Lutidine",0,0.229403416666667,0.0946208525333333,0.287113732766667,0.8345174375,0,0.919990482633333,0.0609856788333333,0.942501026333333,1.51019996985,0.29491679975,0.303964965666667,0.5387675954,1.99716001233333,0.0065900753,0.0933572563666667,0.0074084344,0.0938037906666667,0.81453347925,0.336564080166667,0.2364144505,0.576273703433333,0.187371955333333,0,0.504256164466667,0.4097712545,0.2648896717,0.772579550166667,1.074686086
"2,7-Octanedione",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0084069822,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2(3H)-Furanone, 5-ethyldihydro-",0,0,0,0,0,0,0,0,0.0347436673333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2(3H)-Furanone, 5-methyl-",0,0,0,0,0.0024631017,0,0,0,0,0,0,0.0049761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2(3H)-Furanone, dihydro-4-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018761084,0,0,0,0,0,0,0,0,0,0.00532695763333333,0,0,0,0
"2(3H)-Furanone, dihydro-4,4-dimethyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002119103,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2(3H)-Furanone, dihydro-5-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0171949073,0,0,0,0,0,0,0,0,0,0,0,0,0
"2(3H)-Furanone, dihydro-5-propyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026849489,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2(5H)-Furanone",0,0,0,0,0,0,0,0,0.021453528,0,0.0153521889,0.108772133666667,0,0.168063821666667,0,0,0,0,0,0,0.04438982,0,0.0448295296666667,0,0,0.0614493115,0,0,0.0678427636666667
"2(5H)-Furanone, 3-methyl-",0,0,0,0,0.02643447085,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0461088383,0,0,0,0,0,0,0.021430157,0,0,0
"2(5H)-Furanone, 5,5-dimethyl-",0,0,0,0,0,0,0,0,0.00176666466666667,0,0.00220156895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00609812
"2H-1,2-Oxazine, 6-(4-chlorophenyl)tetrahydro-2-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,3.44107636815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2H-2,4a-Methanonaphthalene, 1,3,4,5,6,7-hexahydro-1,1,5,5-tetramethyl-, (2S)-",0,0,0,0.00954095633333333,0,0.0054530632,0.00499546683333333,0,0.00989957566666667,0.0091068049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2H-Imidazole, 2,2,4,5-tetramethyl-",0,0,0,0,0,0,0.334698304166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2H-Pyran-2-one",0,0,0,0,0,0,0,0,0.002318404,0.00441779705,0.00138023355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2H-Pyran-2-one, tetrahydro-",0,0,0,0,0,0,0,0,0,0.0363905227,0.0327785433,0,0.00759654415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2H-Pyran, 3,4-dihydro-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006079666,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2H-Pyrrol-2-one, 1,5-dihydro-5-methoxy-3,5-dimethyl-",0,0,0,0,0,0.00359606055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2H-Tetrazole, 2-methyl-",0,0,0,0,0,0,0,0,0,0.04775064935,0.00773102265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-(Methylthio)-2-butanone",0,0,0,0,0,0.0123380003,0.00762979853333333,0,0,0.01393937665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-Aminopropionitrile",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0032286154,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-Buten-1-ol",0,0,0,0,0.00930859765,0,0,0,0,0.03682226665,0,0.0160367456666667,0,0,0,0,0,0,0.0053241815,0,0,0,0,0,0,0,0,0,0
"3-Buten-1-ol, 3-methyl-",0,0,0,0,0.0044077905,0,0,0,0.00515287066666667,0.01939094005,0,0.0108317763333333,0,0.043604467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116394486666667
"3-Buten-2-ol, 2-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00403480726666667,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-Buten-2-one, 3-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0070938777,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-Carene",0,0,0,0,0,0,0,0,0,0,0.0186853378,0,0,0,0,0,0,0.00191898166666667,0,0,0.0285828775,0,0.00417907966666667,0,0,0.026917084,0,0,0.006315299
"3-Decene, 2,2-dimethyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0.110167539666667,0,0,0,0,0,0,0,0,0,0,0,0,0.0150075302333333,0,0
"3-Decyn-2-ol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00652222,0,0,0,0,0,0,0,0
"3-Dodecyne",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01460357845,0,0,0,0,0,0,0,0,0,0
"3-Ethyl-2-hexene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0708097749666667,0,0,0,0
"3-Ethyl-3-hexene",0,0,0,0.0921462112666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-Ethylcyclopentanone",0,0,0,0,0,0.0208874058,0.0269215780333333,0,0,0,0,0,0,0,0.0016148259,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-Furaldehyde",0,0,0,0,0,0,0,0,0,0,0,0,0.00264629,0,0.0018324902,0,0,0,0,0,0,0,0,0,0.0051741785,0,0,0,0
"3-Heptanol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005625477,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-Heptanone",0,0,0,0,0,0,0,0,0,0,0.10590094025,0,0.06141681525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-Heptanone, 2,6-dimethyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0146643260333333,0,0,0,0,0,0,0,0,0
"3-Hepten-2-one",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0036751017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-Heptene",0,0,0,0,0,0,0.00390455536666667,0,0,0,0.00481250715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-Heptene, 2-methyl-",0,0,0,0.0523927896,0,0,0,0,0,0,0,0,0,0,0.0019337556,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-Heptene, 4-ethyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00438823363333333,0,0
"3-Heptene, 4-methyl-",0,0,0,0,0.00297855875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-Heptene, 5-methyl-",0,0,0,0,0,0,0,0,0.0843744646666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-Heptyl formate",0,0,0,0,0.0028680665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-Hexanol, 5-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00225937745,0,0,0,0,0,0,0,0,0,0
"3-Hexanone",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0048741277,0,0,0,0,0,0,0.0287895791333333,0,0,0,0,0,0,0
"3-Hexanone, 2-methyl-",0,0,0,0,0,0.0070304092,0,0,0.0205378743333333,0.01912742235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-Hexanone, 2,5-dimethyl-4-nitro-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0334485394,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-Hexen-1-ol, acetate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0341760655,0,0,0
"3-Hexen-2-one",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006182666,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-Hexene",0,0,0,0,0.0469652622,0,0,0,0,0,0.0112798308,0,0.01123806545,0,0.0071946941,0,0,0,0,0,0,0,0,0,0,0,0,0.0127576867,0.116123481666667
"3-Hexene, 2,2-dimethyl-",0,0.0535626126666667,0,0,0.0390686549,0,0.0462015706333333,0,0.0443024933333333,0,0,0,0,0.068970497,0,0,0,0,0,0,0,0.0245232668666667,0,0,0,0,0,0,0
"3-Hexene, 2,3-dimethyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0118707115,0,0,0,0,0,0,0,0
"3-Hydroxy-3-methyl-2-butanone",0,0,0,0,0.00132070765,0,0,0,0,0,0,0,0,0,0.0043448313,0,0,0,0,0,0.0024816875,0,0,0,0,0,0,0,0
"3-Methoxy-alpha,alpha-dimethylbenzyl alcohol",0,0,0,0.0224556292,0.0064075784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-Methoxyamphetamine",0,0,0,0,0,0,0,0,0,0,0,0,0,0.14102999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-Methoxybut-1-ene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0263171045,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-Methyl-3-cyclohexen-1-one",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0534455093333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-Methylbenzothiophene",0,0,0,0,0,0,0,0,0,0,0,0,0.0011886795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-Methylcyclopentyl acetate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0174604365,0,0,0,0,0.015125204,0,0,0
"3-Methylheptyl acetate",0,0,0,0,0,0.0087618428,0.0212303059333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-Nonene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015164531,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-Octanol",0,0,0,0,0,0,0,0,0,0,0,0,0.0048327939,0.0444280676666667,0,0,0,0.00473235833333333,0.00920088055,0,0,0,0,0,0,0,0,0,0
"3-Octanone",0,0,0,0,0,0.1254846481,0.269847046233333,0.1540445347,0.726154159333333,0.57459456505,0,0,0.03017012065,0.0978064233333333,0.0065558553,0,0,0,0.0178077076,0,0,0,0,0,0,0,0,0,0.0774565236666667
"3-Octene",0,0,0,0,0.0872779331,0,0,0,0,0,0,0,0,0,0,0.0661465414666667,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-Octene, 2,2-dimethyl-",0,0.0328634796666667,0,0,0,0,0,0,0.160073369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-Pentanol",0,0,0,0,0,0,0,0,0.011444701,0,0,0.00528229433333333,0.01795872445,0.332826829666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121907106666667
"3-Pentanol, 2,2-dimethyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000979586,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-Pentanone",0,0,0,0,0,0,0,0.0249222686333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-Pentanone, 2,4-dimethyl-",0,0,0,0.0457731605666667,0.04542778115,0,0,0,0,0.0640749409,0,0.0459793616666667,0,0,0.002566727,0,0,0,0,0,0,0,0,0.0539347514,0,0,0,0,0
"3-Penten-2-ol",0,0,0,0.00895908753333333,0.00434976365,0,0,0,0.0150091076666667,0.02036235085,0,0,0,0,0,0,0,0,0.0103793897,0,0,0,0.003379142,0,0,0.0015306365,0,0,0
"3-Penten-2-one",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004831399,0,0,0,0,0,0.0090107039,0,0,0,0,0
"3-Penten-2-one, 4-methyl-",0,0,0,0,0,0,0.347921052933333,0,0,0,0,0,0,0,0.0106444109,0,0,0,0.0451200623,0,0,0,0,0,0,0,0,0,0
"3-Pentenoic acid, 4-methyl-",0,0,0,0,0,0,0,0,0,0,0.0037201895,0,0.0142921129,0.392924999,0,0,0,0.001372985,0,0,0,0,0,0,0,0,0,0,0.002970278
"3-Phenyl-3-pentanol",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00948674933333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-Tridecene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004026381,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-Trifluoroacetoxytetradecane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008581537,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3,3,4,4,5,5-Hexafluorocyclopentene",0,0,0,0,0,0,0,0,0,0.0038256133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3,4-Diacetylfurazan",0,0,0,0,0,0.62523556955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3,4-Difluorobenzoic acid, 4-cyanophenyl ester",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005276242,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3,4-Dimethylcumene",0,0,0,0,0,0,0,0,0,0.0190620722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3,4-Dimethyldihydrofuran-2,5-dione",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0433498136666667
"3,4-dimethylfuran",0,0,0,0,0,0.1837067777,0,0,0,0,0,0,0,0,0,0,0,0.00709002833333333,0,0,0,0,0,0,0,0,0,0,0
"3,4-Hexanedione, 2,2,5-trimethyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0438058476666667
"3,4,5-Trifluorobenzyl alcohol, n-propyl ether",0,0,0,0,0,0,0,0,0,0,0.0024358331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3,5-di-tert-Butyl-4-hydroxybenzaldehyde",0,0,0,0,0,0,0.0086214678,0,0.0106973213333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3,5-Difluorobenzaldehyde",0,0,0,0,0,0,0,0,0.0311763873333333,0,0,0,0.00752900325,0,0.0069380335,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3,5-Difluorophenol",0,0,0,0,0,0,0,0,0.00332911833333333,0,0.00421599925,0,0,0,0.0004766683,0,0,0,0,0.00170640266666667,0,0,0,0,0,0.015099587,0,0,0.00796227833333333
"3,5-Dimethylcyclopentene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009391952,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3,5-Dithiahexanol 5,5-dioxide",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0185919993666667,0,0,0,0
"3',4'-Difluoroacetophenone",0,0,0,0,0,0.00088092805,0,0,0,0,0,0,0,0,0.0013798151,0,0,0,0,0,0,0,0,0,0,0.016266924,0,0,0
"3(2H)-Furanone, dihydro-2-methyl-",0,0,0,0.0029998158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4-Aminostyrene",0,0,0.0063177941,0,0,0,0,0,0,0,0,0,0.0345767172,0,0,0,0,0,0,0,0,0.0315048562666667,0,0,0,0,0,0,0
"4-Cyanocyclohexene",0,0,0,0,0,0.10459652235,0,0,0,0,0,0,0.23420160075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4-Cyclopentene-1,3-dione",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014431565,0,0,0.00426940166666667,0,0,0,0,0,0,0,0,0,0,0
"4-Decene, 2,2-dimethyl-",0,0,0,0,0,0,0,0,0,0.79178525185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4-Ethylbenzoic acid, 2,6-dimethylnon-1-en-3-yn-5-yl ester",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00053442,0.00329197083333333,0,0,0,0,0,0,0,0,0,0,0,0,0
"4-Ethylbenzoic acid, cyclobutyl ester",0,0,0,0,0,0,0,0,0,0,0,0,0.02118844285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4-Heptanol, 2,6-dimethyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006307648,0,0,0
"4-Hydroxy-3-hexanone",0,0,0,0,0,0,0,0,0,0,0,0,0.00218254485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4-Hydroxy-alpha,alpha-bis(trifluoromethyl)benzyl alcohol",0,0,0,0,0,0,0,0,0,0,0.00111430395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4-Methoxy-1-pentene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007377946,0,0,0,0,0.00324785676666667,0,0,0,0,0,0,0,0,0
"4-Methyl-2-tert-octylphenol",0,0,0,0,0.07228321095,0,0,0,0,0.3056520228,0,0,0,0,0,0,0,0,0.04159544835,0,0,0,0,0,0,0,0,0,0
"4-Methylthiazole",0,0,0,0,0,0.0086854606,0,0,0.00229392933333333,0.0053591847,0,0.00274893766666667,0,0,0,0.00727161203333333,0,0,0.03359029245,0,0,0.00324788126666667,0,0,0.00545089433333333,0,0.00270001273333333,0.0114363456333333,0
"4-Nonene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0041632101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4-Octene",0,0,0,0,0.1526759912,0,0,0,0,0,0,0,0,0,0.0458300807,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4-Octene, 2,3,6,7-tetramethyl-",0,0,0,0,0,0,0,0,0,0.0351435271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4-Penten-1-ol",0,0,0,0,0,0,0,0,0,0.0072511488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4-Penten-2-ol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021825339,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4-Piperidinone, 2,2,6,6-tetramethyl-",0,0,0,0,0,0.0137950664,0.0810932114333333,0,0.0220373696666667,0,0,0,0,0,0.0005515613,0,0,0,0,0.00961364016666667,0,0.0098365166,0,0,0,0,0,0.00916244293333333,0.00552725633333333
"4-Pyridinecarboxaldehyde",0,0,0,0,0,0,0.0026149657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4-Trifluoroacetoxypentadecane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010051845,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4-Undecene",0,0,0,0,0,0,0,0,0.107096541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4,4-Dimethyl-2-cyclopenten-1-one",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000913511,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4,5-Dimethyl-3H-isobenzofuran-1-one",0,0,0,0,0,0,0,0,0,0,0,0,0.02293837755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4,6-Octadiyn-3-one, 2-methyl-",0,0,0,0.8528307471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4,7-Methano-1H-inden-6-ol, 3a,4,5,6,7,7a-hexahydro-, acetate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00833312803333333,0,0
"4,7-Methano-1H-indene, 2,3,3a,4,7,7a-hexahydro-, (3aα,4α,7α,7aα)-",0,0,0,0,0,0,0,0,0,0.00760735535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4(1H)-Pyrimidinone, 6-methyl-",0,0.00906110666666667,0,0,0,0,0,0,0,0,0.00449840425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5-Cyano-1-pentene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010346406,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5-Dodecene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011286817,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5-Ethyldecane",0,0,0,0,0,0,0,0,0,0,0,0,0,0.314385605333333,0,0,0,0,0,0,0,0.0216405977666667,0,0,0,0,0,0,0
"5-Hepten-2-one, 6-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123953727133333,0,0,0,0,0,0,0,0,0
"5-Oxotetrahydrofuran-2-carboxylic acid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0077378025,0,0,0,0,0,0,0,0
"5-Oxotetrahydrofuran-2-carboxylic acid, ethyl ester",0,0,0,0,0,0,0,0,0,0.01929962355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5,6,7,8,9,10-Hexahydrobenzocyclooctene",0,0,0,0.0300962320333333,0.00948661325,0.0177622647,0.0233814182,0,0.0384965203333333,0.02925904615,0,0,0.0419436694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5,9-Undecadien-2-one, 6,10-dimethyl-",0,0,0,0,0,0.02197797585,0,0,0,0,0.0466275604,0,0,0,0,0,0,0,0,0.0764324585,0,0.116157771133333,0,0,0.0538615695666667,0,0,0,0
"6-(p-Tolyl)-2-methyl-2-heptenol, trans-",0.04206059335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6-Dodecanol",0,0,0,0,0.022657434,0,0,0,0.0382071686666667,0,0,0,0.13215437425,0,0,0,0,0,0,0,0,0,0,0,0.00557368896666667,0,0,0.0191575767,0
"6-Dodecene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024000973,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6-Methyl-3,5-heptadiene-2-one",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00361639696666667,0,0,0,0,0,0,0,0,0
"6-Oxa-bicyclo[3.1.0]hexan-3-one",0,0,0,0,0.00569858455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7-Acetyl-6-ethyl-1,1,4,4-tetramethyltetralin",0,0,0,0,0,0,0,0,0,0,0.0028225234,0,0,0,0,0,0,0,0,0.00311400983333333,0,0.0025290528,0,0,0.00699647963333333,0,0,0,0
"7-epi-cis-sesquisabinene hydrate",0,0,0,0,0,0,0,0,0,0,0,0,0.00983544715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7-Heptadecyne, 17-chloro-",0,0,0,0,0,0,0,0,0,0,0,0.474055480333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7-Pentadecyne",0,0,0,0.028054556,0,0,0,0,0,0,0,0,0.0518714424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7-Tetradecene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0032003377,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7,11-Hexadecadienal",0,0,0,0,0,0,0,0,0,0.0163576501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7,9-Di-tert-butyl-1-oxaspiro(4,5)deca-6,9-diene-2,8-dione",0,0,0,0,0,0,0,0,0,0,0,0.0882889523333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011827959,0,0,0
"9-Methylbicyclo[3.3.1]nonane",0,0,0,0,0,0,0.0222165972333333,0,0,0.0057332584,0,0,0,0.0388809453333333,0,0,0,0,0,0,0.013597934,0,0,0,0,0.016107725,0,0,0.00751950633333333
"9,12-Octadecadienoic acid (Z,Z)-",0,0,0,0,0,0,0,0,0,0,0,0,0.06011782875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acenaphthene",0,0,0,0,0,0.0015875259,0.00279790493333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00178728133333333,0
"Acenaphthylene, 1,2,2a,3,4,5-hexahydro-",0,0,0,0,0,0,0,0,0,0,0,0,0.002486885,0.00460371766666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acetaldehyde",0,0,0,0,0.10718769245,0,0,0,0,0.1827674843,0,0.179429762,0,0.192638354,0,0,0,0,0.0928186127,0,0.1335207315,0,0.203221699333333,0,0,0.0813478,0,0,0.042421061
"Acetaldehyde, O-methyloxime",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0032797007,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acetamide",0,0,0,0,0.17913779435,0,0.1735650135,0,0.123937774333333,0.7539678706,0,0.0294451006666667,0.0571449173,0.388889630333333,0,0,0,0,0.16487015375,0,0,0,0,0,0.0016666566,0.116041235,0,0.0625839799,0.201068639666667
"Acetic acid",0,0,0,0.117944742233333,0,0,0,0,0,2.5446513534,0.29849926965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2633828605,0,0,0
"Acetic acid ethenyl ester",0,0,0,0.0608668684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0553541952333333,0,0
