"","foot1_SS2","foot1_SS3","foot1_SS4","foot1_SS5","foot1_SS6","foot2_SS2","foot2_SS3","foot2_SS4","foot2_SS5","foot2_SS6","foot3_SS5","foot3_SS6","foot4_SS5","foot4_SS6","foot5_SS2","foot5_SS3","foot5_SS4","foot5_SS5","foot5_SS6","foot6_SS5","foot6_SS6","foot7_SS5","foot7_SS6","foot8_SS4","foot8_SS5","foot8_SS6","foot9_SS4","foot9_SS5","foot9_SS6"
"1-Decanol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009526251,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Decanol, 2-ethyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021185337,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Decanol, 2-hexyl-",0,0,0,0,0,0,0,0,0,0,0.01277539725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Decene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0064288459,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Decene, 2,4-dimethyl-",0,0,0,0,0,0,0,0,0.368849306333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Dodecanol",0,0,0,0,0,0,0.0124547298333333,0,0,0,0,0,0,0,0,0.0157517014,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Dodecanol, 2-hexyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194483294,0,0,0,0,0
"1-Dodecanol, 3,7,11-trimethyl-",0,0,0,0,0,0,0,0.0509360158333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0304878991666667,0.029665667,0,0,0
"1-Dodecanone, 2-(imidazol-1-yl)-1-(4-methoxyphenyl)-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0163586101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Ethyl-4-methylcyclohexane",0,0,0,0,0,0,0,0,0,0.08452316205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Ethyl-5-methylcyclopentene",0,0,0,0.0318028222666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Fluoro-3-(trifluoro-methyl)benzene",0,0,0,0,0,0,0,0,0,0,0.0074901066,0,0.0039704159,0,0,0,0,0,0,0,0,0,0,0,0.00548193653333333,0,0,0,0
"1-Heptanol",0,0,0,0,0,0,0.0051849662,0,0,0,0,0.01599188,0,0.0933995343333333,0,0,0,0.00313793566666667,0,0,0,0,0,0,0,0.004912511,0,0,0
"1-Heptanol, 2-propyl-",0,0,0,0,0,0,0,0,0,0,0,0,0.02021025785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Heptene, 2-methyl-",0,0,0,0.196594133866667,0,0,0,0,0,0.0621205463,0,0,0.041985658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Hexanol",0,0,0,0.0125698389666667,0,0,0,0,0,0,0,0,0.05260676495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Hexanol, 2-ethyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1691505273,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Hexanol, 3-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110831805,0,0.0036930735,0.0221325686666667
"1-Hexene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0289686401333333,0,0
"1-Hexene, 2,5-dimethyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0186134483,0,0,0,0,0,0,0,0,0,0
"1-Hexene, 3,3-dimethyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0287828024,0
"1-Hydroxy-2-butanone",0,0,0,0,0.0065851189,0,0,0,0,0.0250381613,0,0,0,0,0,0,0,0,0.00321060215,0,0,0,0,0,0,0,0,0,0
"1-Hydroxy-2-pentanone",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015075861,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Methyl-2-n-hexylbenzene",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0369477076666667,0,0,0,0,0.0036646109,0,0,0,0,0,0,0,0,0,0
"1-Methylbicyclo(4.4.0)decane(trans)",0,0,0,0,0,0,0,0,0,0,0.07954580365,0,0,0,0.0005441137,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Methylcyclohexa-1,3-diene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00505654265,0,0,0,0,0,0,0,0,0,0
"1-Methylcyclopropanemethanol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4580167545,0,0,0
"1-Methyldodecylamine",0,0,0,0,0,0,0,0,0,0,0.04382512285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Nitro-2-propanone",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0028469372,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Nonanol",0,0,0,0.00474096373333333,0,0,0,0,0,0,0,0,0,0,0.0031458785,0,0,0,0,0,0,0,0,0,0.0110381491666667,0,0,0,0
"1-Nonene",0.02875412585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106109025,0,0,0
"1-Nonylcycloheptane",0,0,0,0,0,0.0123281858,0.0461839104666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0113857555,0,0,0,0,0.0328937715,0,0.0090657248,0.0300463743333333
"1-O-Monoacetyl-2,3-O-dibenzoyl-d-ribofuranose",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003614507,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Octadecanamine, N-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0297858425,0,0,0,0,0,0,0,0
"1-Octanamine, N-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062633886,0,0,0,0,0,0,0,0
"1-Octanol",0,0,0,0,0,0,0,0,0,0,0.02429803025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00507997943333333,0,0
"1-Octanol, 2-butyl-",0,0,0,0.7146841794,0,0,0,0,0,0,0.1943026905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Octen-3-ol",0,0,0,0,0,0,0,0,0,0,0,0,0.00647202425,0,0.0010630558,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Octen-3-one",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.714818650533333,0.0796896856333333,0
"1-Octene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0374179419,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Octene, 3,7-dimethyl-",0,0,0,0,0,0,0,0,0,0.05240869125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Pentanol",0,0,0,0,0,0,0.0101640895333333,0,0.0222765576666667,0,0.09846571945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Pentanol, 2-ethyl-4-methyl-",0,0,0,0,0,0,0,0,0,0,0,0.0615818356666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Pentanol, 2,2,3,3,4,4,5,5-octafluoro-",0,0,0,0,0,0,0,0,0,0,0.00161068425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Pentanol, 4-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0.0053768588,0.205937487333333,0.0015548191,0,0,0.002913841,0,0,0,0,0,0,0,0,0,0,0.0108064903333333
"1-Pentanone, 1-(4-hydroxyphenyl)-",0,0,0,0,0,0,0,0,0,0,0,0,0.00871884355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Penten-3-ol",0,0,0,0,0,0.0118547206,0,0,0,0,0,0,0,0.0779512506666667,0.0023571718,0,0,0,0,0,0,0,0,0,0,0,0,0.0189634947666667,0
"1-Penten-3-one",0,0,0,0,0,0.0083931799,0,0,0,0,0,0,0,0,0.0042195405,0,0,0,0,0,0,0,0,0,0,0.0144427925,0.00847279236666667,0,0
"1-Penten-3-one, 4-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013430775,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Pentene, 2-methyl-",0,0,0,0,0.2352811804,0,0,0.0290408353666667,0,0.18760000915,0,0.196796662666667,0.0756915032,0.201892912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Pentene, 2,4-dimethyl-",0,0,0,0,0,0,0,0,0,0.02320612635,0,0,0,0,0,0,0,0.00213048066666667,0,0,0,0,0,0,0,0,0,0,0
"1-Pentene, 2,4,4-trimethyl-",0,0,0,0,0.01343872565,0,0,0,0,0,0,0,0.05230506335,0,0,0,0,0,0,0,0,0.0954545514,0,0,0,0,0,0,0
"1-Pentene, 3-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0213391165,0,0,0
"1-Pentene, 4,4-dimethyl-",0,0,0,0,0,0,0,0,0.0371346153333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Pentylpyrrolidine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012049165,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Propanol",0,0,0,0,0,0,0,0,0,0,0,0,0.4102253229,0,0,0,0,0,0,0,0,0,0,0,0,0.2556663855,0,0,0
"1-Propanol, 2-methyl-",0,0,0,0.0501201265666667,0,0,0,0,0.036381886,0.0638358425,0,0,0.0868542588,0,0.0854454783,0,0,0.162509510666667,0,0,0,0,0.091969448,0,0,0,0,0,0
"1-Propanol, 2,2'-oxybis-",0,0,0,0,0.02830718445,0.02831970195,0,0,0,0.098063176,0,0,0,0,0,0,0,0,0.0122101602,0,0,0,0,0,0,0,0,0,0.0301524453333333
