"","D4d0","D4d1","D4d3","D4d4","D4d7","D4d9","D4d12","D4d31"
"Cyclohexane, 1-ethyl-2-methyl-",0,0,0,0,0,0,0,0.00142721923333333
"Cyclohexane, 1,2-dimethyl- (cis/trans)",0,0,0,0.0010925223,0,0,0,0
"Cyclohexane, methyl-",0,0,0,0,0,0,0.002777645,0
"Cyclohexanone",0.00476113623333333,0,0,0,0,0,0,0
"Cyclohexene",0,0.0043362243,0.00999342306666667,0,0,0,0,0
"Cyclohexene, 1-methyl-",0,0,0,0,0,0.0042746201,0,0
"Cyclooctane, methyl-",0,0,0,0,0,0,0,0.00182215673333333
"Cyclopentane, 1-pentyl-2-propyl-",0,0.0029606462,0,0,0,0,0,0
"Cyclopentane, 1,2,4-trimethyl-",0,0,0,0,0,0.00170665043333333,0,0.0014391028
"Cyclopentanone",0,0,0,0,0,0,0.00394258423333333,0
"Cyclopentene, 3-methyl-",0.0018927293,0,0,0,0,0,0,0
"Cyclopropane, ethylidene-",0.00991073546666667,0,0,0,0,0,0,0
"Diacetyl sulphide",0,0,0,0,0,0.0471035753,0,0
"Dibutyl phthalate",0,0,0,0,0,0,0.00503319146666667,0
"Diethyl azodicarboxylate",0,0,0,0,0,0,0.0275845206,0
"Diethyl Phthalate",0,0,0,0,0,0,0,0.00234400346666667
"Dimethyl ether",0,0,0,0,0,0,0.0310490470666667,0
"Ethanol, 2-ethoxy-",0,0,0.00377335666666667,0,0,0,0,0
"Ethanol, 2-methoxy-",0,0,0,0.00595033543333333,0,0,0,0
"Formamide, N,N-dibutyl-",0,0,0,0.00108271706666667,0,0,0,0
"Formamide, N,N-dimethyl-",0.0055305483,0,0,0,0,0,0,0
"Furan, 2-methyl-",0,0,0,0.0042433894,0,0,0,0
"Furan, 3-methyl-",0,0,0,0,0,0,0.00303240543333333,0
"Glycolaldehyde dimer",0.0606844301333333,0,0,0,0,0,0,0
"Heptacosan-9-ol",0,0.00811314133333333,0,0,0,0,0,0
"Heptane, 2-methyl-",0.00382156493333333,0,0.0022336549,0,0,0,0,0
"Heptane, 2,5-dimethyl-",0,0,0,0,0,0,0,0.0020362268
"Heptane, 3-methyl-",0,0,0,0.00316377413333333,0,0,0,0
"Heptyl ethylphosphonofluoridate",0,0,0,0,0,0.0030174233,0,0
"Hexane, 1,1,1,2,2,3,3,4,4,5,5,6,6-tridecafluoro-",0,0,0.0033446207,0,0,0,0,0
"Hexane, 2-methyl-",0,0,0,0.00549910956666667,0,0,0,0
"Hexane, 2,3-dimethyl-",0.00153223656666667,0,0,0,0,0,0,0
"Hexane, 2,4-dimethyl-",0,0.00115708006666667,0,0,0,0,0,0
"Hexane, 3-ethyl-2,5-dimethyl-",0,0,0,0,0,0.00252617233333333,0,0
"Hydrazine",0,0,0,0.165628415666667,0,0,0,0
"Hydrazine, methyl-",0.207318842433333,0,0,0,0,0,0,0
"Indane",0,0,0,0,0,0.000909815933333333,0,0
"Isobutyronitrile",0,0,0.0072170302,0,0,0,0,0
"L-Alanine, 3-sulfo-",0,0,0.1784537572,0,0,0,0,0
"L-Cysteine sulfinic acid",0.110175031433333,0,0,0,0,0,0,0
"Methenamine",0,0,0,0,0,0,0.00855275696666667,0.2166827389
"Methylamine, N,N-dimethyl-",0,0,0,0,0,0,0,0.0559160756333333
"N-α,N-ω-Di-cbz-L-arginine",0,0,0,0.0052493469,0,0,0,0
"Nonane",0,0,0.0233903707,0,0,0,0,0
"Nonane, 2,2,4,4,6,8,8-heptamethyl-",0,0,0,0,0,0,0,0.0033802995
"Octane, 2,5,6-trimethyl-",0.00419669583333333,0,0,0,0,0,0,0
"Oleyl alcohol, trifluoroacetate",0,0.0133547311333333,0,0,0,0,0,0
"Oxalic acid, isobutyl hexadecyl ester",0,0,0,0,0,0,0,0.00339284956666667
"Oxirane, 2-ethyl-2-methyl-",0,0,0,0,0,0,0,0.00840413093333333
"Pentanal",0,0,0.0291451330666667,0,0,0,0,0
"Pentane, 1,1,2,2,3,3,4,4-octafluoro-",0,0,0,0,0,0.0175869871,0,0
"Pentane, 3-methyl-",0,0,0,0,0,0.0128313884,0,0
"Pentanoic acid, 2,2,4-trimethyl-3-carboxyisopropyl, isobutyl ester",0,0.0258033613666667,0,0,0,0,0,0
"Perfluorooctane",0,0,0.0028782085,0,0,0,0,0
"phenol, 2-(1,1,3,3-tetramethylbutyl)-",0,0,0,0,0,0.0062722494,0,0
"Phthalic anhydride",0,0,0,0.00567218093333333,0,0,0,0
"Propane, 1,1,2,2-tetrafluoro-",0,0,0,0.00643883266666667,0,0,0,0
"Propanenitrile",0.0186292463666667,0,0,0,0,0,0,0
"Propanoic acid, 3-amino-2-methyl-",0.00430160316666667,0,0,0,0,0,0,0
"Pyrrole",0,0,0.00183661066666667,0,0,0,0,0
"Quinoline, 1,2-dihydro-2,2,4-trimethyl-",0,0,0,0.0825916313333333,0,0,0,0
"Styrene",0,0,0,0,0.0108105668333333,0,0,0
"Sulfur dioxide",0,0,0.309031421633333,0,0,0,0,0
"Tetrachloroethylene",0.0012311538,0.0011159842,0,0.0004749638,0,0,0,0
"Tetradecane",0,0,0,0,0.0184534009333333,0,0,0
"Thiophene",0.0055645491,0,0,0,0,0,0,0
"Trichloroethylene",0.000680979866666667,0,0,0,0,0,0,0
"Undecanal",0,0,0,0,0,0,0,0.0041880631
"Undecane",0,0,0,0.0102617015666667,0,0,0.0296041030666667,0
"Undecane, 3,8-dimethyl-",0,0.0188925210333333,0,0,0,0,0,0
"α-Pinene",0,0,0,0,0,0.00435465096666667,0,0
"β-Myrcene",0.00923345033333333,0,0.00420205936666667,0,0,0,0,0
