"","D10d0","D10d1","D10d2","D10d3","D10d4","D10d6","D10d9","D10d11","D10d13","D10d16","D10d18","D10d20","D10d24","D10d27","D10d30","D10d34"
"Heptane, 2-methyl-",0.00428758736666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heptane, 3-methyl-",0,0,0.0038873949,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hexanal, 2-ethyl-",0,0,0.0052558915,0,0,0,0.00464027433333333,0.0022835236,0,0,0,0,0,0,0.0321991857333333,0.00239652463333333
"Hexane, 1,1,1,2,2,3,3,4,4,5,5,6,6-tridecafluoro-",0,0,0,0,0,0,0.00358990246666667,0,0,0,0,0,0,0,0,0
"Hordenine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00678170263333333
"Hydrazine",0,0,0,0,0,0,0.155935288433333,0,0.923957292033333,0,0.320261410866667,0,0,0,0.632258260933333,0
"Indane",0,0,0,0,0,0,0,0,0.00579395036666667,0,0.00999425693333333,0,0,0,0,0
"Isobornyl formate",0,0,0,0,0,0,0,0,0,0,0,0.0123280889666667,0,0,0,0
"Isobutane",0,0.0221867444,0,0.0298821158666667,0,0,0.0177666440666667,0,0,0.0048169299,0,0,0,0,0,0.0494562897
"Isobutyronitrile",0,0,0,0,0,0,0,0,0,0,0,0.0189368781666667,0,0,0,0
"Isoserine",0,0,0,0,0,0,0,0,0,0,0,0.00386184953333333,0.0345058832666667,0,0,0
"Meglumine",0,0,0,0,0,0,0,0,0.0230076897333333,0,0,0,0,0,0,0
"Methane, isocyanato-",0,0,0,0,0,0,0,0,0.0196424687,0.1464980637,0.121817591,0.102489166166667,0,0,0,0
"Methane, isothiocyanato-",0,0,0,0,0,0,0.00137507686666667,0,0.0341231384666667,0.081969128,0.117716593233333,0,0.00499133936666667,0.00125567733333333,0,0
"Methane, tribromo-",0,0,0,0,0,0,0,0.0003713806,0,0.0011444513,0,0,0,0,0,0
"Methenamine",0,0,0,0,0,0,0,0,0.828681278533333,0,0,0,0,0,0,0
"Methyl Alcohol",0,0,0,0,0,0,0,0,0,0,5.9334786704,0,0,0,0,0
"Methyl dimethylcarbamate",0,0,0,0,0,0,0,0,0.0808420917666667,0.0698813523,0.0642424414666667,0.0499824791333333,0,0,0,0
"Methyl formate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0187340437666667
"Methyl isobutyrate",0,0,0,0,0,0,0,0.0031887415,0,0,0,0,0,0.00240848916666667,0.00857221716666667,0
"Methyl isocyanide",0,0,0,0,0,0,0,0,0,0,0.210957420833333,0,0,0,0,0
"Methyl nitrite",0,0,0,0,0,0,0,0,0,0,1.86639092896667,0,0,0.0131016538666667,0.334771705933333,0
"Methyl propionate",0,0,0,0,0,0,0,0,0,0,0.0231595536333333,0,0,0,0,0
"Methyl thiolacetate",0,0,0,0,0,0,0,0,0,0.0115105665,0.0391922307666667,0,0,0,0,0
"Methylacrylonitrile",0,0,0,0,0,0,0,0,0,0.0223052651,0.0102698559666667,0.00566685993333333,0,0,0,0
"Methylal",0,0,0,0,0,0,0,0,0,0,0.0692939403,0,0,0,0,0
"Methylamine, N,N-dimethyl-",0,0,0,0,0,0,1.42349684046667,0,1.35013017916667,0.995909763533333,1.03962526323333,0,0,0.226328122066667,0.467861621066667,0.334660796633333
"Methylene chloride",0,0,0,0,0,0.0306546963333333,0,0,0,0,0,0,0,0,0,0
"N-dl-Alanylglycine",0,0,0,0,0.0216823283333333,0,0,0,0,0,0,0,0,0,0,0
"n-Hexane",0,0,0,0,0,0,0,0,0,0,0,0,0.0320854978666667,0,0,0
"N-Methyltaurine",0.0910327290333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N-Nitrosodimethylamine",0,0,0,0,0,0,0,0,0,0.0101616979,0,0,0,0,0,0
"N-tert-Butylmethylamine",0,0,0,0,0.001744211,0,0,0,0,0,0,0,0,0,0,0
"N-Vinylimidazole",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0123133434,0
"N,N,O-Triacetylhydroxylamine",0,0,0,0,0,0,1.80531072296667,0.314232953066667,0,0,0,0,0,0,0,0
"Naphthalene",0,0,0.023319752,0,0,0,0,0,0,0,0,0.0203743673,0,0,0,0
"Nitric oxide",0,0,0,0,0,0,0,0,0,0,2.2194797071,0,0,0,0,0
"Nitrous oxide",0,0,0,0,0,0,0,0.0238220457333333,0,0,0,0,0,0,0,0
"Nonane, 2,2,4,4,6,8,8-heptamethyl-",0,0,0,0,0,0,0,0.0428215119,0,0,0,0,0,0,0,0
"o-Xylene",0.0413635408666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0472843548666667
"Octadecane, 1-(ethenyloxy)-",0,0.0039486421,0,0.00340442613333333,0,0,0,0.00234217683333333,0,0,0,0,0,0,0,0
"Octane",0,0.061208283,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oxazole",0,0,0,0,0,0,0,0,0.0933671872333333,0.0193115581333333,0.0451330722,0.112583569033333,0,0,0,0
"Oxime-, methoxy-phenyl-_",0,0,0,0,0,0,0,0.0003291928,0.00117988786666667,0.00437062186666667,0.0155276950333333,0,0.00139504303333333,0,0,0
"Oxirane, 2-ethyl-2-methyl-",0,0,0,0,0,0,0,0,0.0242285619,0,0,0,0,0.0115481439666667,0,0
"p-Cresol",0,0,0,0,0,0,0,0,0,0.0801484784666667,0.675228836533333,0.2652418036,0.113873257833333,0.0197805917333333,0,0
"p-Cymene",0,0,0,0.0149775857666667,0,0,0,0,0.00716893546666667,0,0,0,0,0,0,0
"Pentanal, 2-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0071277513
"Pentane",0,0,0,0,0,0,0,0,0,0,0,0,0.0756554122666667,0,0,0
"Pentane, 1,1,2,2,3,3,4,4-octafluoro-",0,0,0,0,0,0.0518276983333333,0,0,0,0,0,0,0,0,0,0
"Pentane, 2,2,3,3-tetramethyl-",0,0,0,0.00556605353333333,0,0,0,0,0,0,0,0,0,0,0,0
"Pentane, 3-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00604483573333333,0,0
"Phenol, 2-(1,1-dimethylethyl)-4-(1,1,3,3-tetramethylbutyl)-",0.00117351076666667,0,0,0,0,0,0,0,0.00162984866666667,0,0,0,0,0.00109306953333333,0,0
"Phenol, 4-(1,1-dimethylpropyl)-",0,0,0,0,0,0,0,0,0,0,0.0303757328333333,0,0,0,0,0
"Phenol, p-tert-butyl-",0,0.00195527453333333,0,0,0.00153573733333333,0,0.00193541953333333,0.0012387391,0,0,0,0,0,0,0,0
"Phenylethyl Alcohol",0,0,0,0,0,0,0,0,0,0.0102267278666667,0.0720508943666667,0.0294520878,0.0124284450333333,0.00433781646666667,0,0
"Phenylethyne",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0289050159,0
"Propanal, 2-methyl-",0,0,0,0,0,0.037239076,0,0,0,0.0860790069666667,0,0,0,0,0,0
"Propane, 2,2-difluoro-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00770232046666667
"Propane, 2,2-dimethoxy-",0,0,0,0,0,0,0,0.0118084007666667,0.0187853684666667,0,0,0,0.00970176413333333,0.00670119583333333,0.0139775912,0
"Propanoic acid",0,0,0,0,0,0,0,0,0,0,0.0672562459333333,0,0,0,0,0
"Propanoic acid, 2-methyl-",0,0,0,0,0,0,0,0,0,0,0.549961235466667,0,0.0252977802333333,0.00958168746666667,0,0
"Propanoic acid, 2-oxo-",0,0,0,0,0,0,0,0,0,0,0.0951323875666667,0,0.0108597031333333,0,0,0
"Propanoic acid, 3-amino-2-methyl-",0,0,0,0.113500543733333,0,0,0,0,0,0,0,0.184881876533333,0,0.327502913733333,0,0
"Propiolactone",0,0,0,0,0,0,0,0,0.109395501966667,0.0808385696666667,0.2929040779,0.0138877089333333,0.00622950603333333,0,0,0
"Propylamine",0,0,0,0,0,0,0,0,0,0,0,0.0632060979666667,0,0,0,0
"Pyrazine",0,0,0,0,0,0,0,0,0.0222264284,0.0064531915,0.0137615887,0.00555587016666667,0,0,0,0
"Pyrazine, 2,5-dimethyl-",0,0,0,0,0,0,0,0,0,0.0240684907333333,0,0.00957799706666667,0.0034904226,0,0,0
"Pyrazine, methyl-",0,0,0,0,0,0,0,0,0.0021649666,0.0116069535,0.0152233747,0.00382121786666667,0,0,0,0
"Pyrazine, trimethyl-",0,0,0,0,0,0,0,0,0,0,0.0303260895666667,0,0,0,0,0
"Pyridine",0,0,0,0,0,0,0,0.00165948286666667,0.0439299557666667,0.0347798259,0.0442842145,0.0302313932,0.00676276543333333,0.00466627156666667,0.0119895151333333,0
"Pyrimidine, 4-methyl-",0,0,0,0,0,0,0,0,0,0,0.00582897376666667,0,0,0,0,0
"Pyrrole",0,0.00453940686666667,0,0,0,0,0.0135510871333333,0.00617682063333333,0.0180003740666667,0,0,0.0231633651666667,0,0,0,0
"Quinazoline, 2,4-dimethyl-",0,0,0,0,0,0,0,0,0,0,0.0083750705,0,0,0,0,0
"Quinoline, 1,2-dihydro-2,2,4-trimethyl-",0,0,0,0,0.00762850833333333,0,0,0.00427921846666667,0,0,0,0,0,0,0,0
"Stearic acid hydrazide",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102706088233333
"Styrene",0,0,0,0.0191098535666667,0,0,0,0,0,0,0,0.0275866074666667,0,0,0,0
"Sulfurous acid, butyl dodecyl ester",0,0,0,0,0,0,0,0,0,0,0,0.00457807756666667,0,0,0,0
"Sulfurous acid, butyl octyl ester",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00130911023333333,0,0
"Tetrachloroethylene",0,0,0,0,0,0,0,0,0,0,0,0,0,0.000804249166666667,0.00216027043333333,0
"Tetradecane",0,0,0.0533506252,0,0,0,0,0,0,0,0,0,0,0,0.1864929071,0
"Tetrafluorophthalonitrile",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094440515
"Tetrahydrofurfuryl chloride",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00294488876666667,0,0
"Thiazole",0,0,0,0,0,0,0,0,0.0033779194,0,0.0112975940333333,0,0,0,0,0
"Thiirane",0,0,0,0,0,0,0,0,0,0,0.00143053473333333,0,0,0,0,0
"Thiocyanic acid, methyl ester",0,0,0,0,0,0,0,0.0010277869,0.0245619034666667,0.066853033,0.0665059135,0.0765327582333333,0.00504363586666667,0.00255690243333333,0.00473167536666667,0.00172394146666667
"Thiophene",0,0,0,0,0,0,0,0,0,0.0055125702,0,0,0,0,0,0
"Thiophene, 2-methyl-",0.00170411493333333,0,0,0,0,0.004294986,0,0,0,0,0,0,0,0,0,0.00133182476666667
"Thiophene, 2-pentyl-",0,0,0,0,0,0,0,0,0,0,0.00247466926666667,0,0,0,0,0
"Thiophene, 3-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0034197987,0
"Tranexamic Acid",0.0336607247666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Trichloroethylene",0,0,0,0,0,0,0,0.00426003513333333,0,0,0,0,0,0,0,0
"Urea",0,0,0,0,0,0,0,0,0,0,0.00379217006666667,0,0,0,0,0
