"","D10d0","D10d1","D10d2","D10d3","D10d4","D10d6","D10d9","D10d11","D10d13","D10d16","D10d18","D10d20","D10d24","D10d27","D10d30","D10d34"
"2-n-Butyl furan",0,0,0,0,0.00312153833333333,0,0,0,0,0,0,0,0,0,0,0.00387041866666667
"2-Octen-1-ol",0,0,0,0,0,0,0,0.00794959643333333,0,0,0,0,0,0.0049682742,0,0
"2-Octenal",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00743787033333333,0,0
"2-Octene",0,0.00460513136666667,0,0,0,0,0,0.0161658241,0,0,0,0,0,0,0,0
"2-Oxetanone, 4-methyl-",0,0,0,0,0,0,0,0,0.1651381395,0.596761484266667,0.644930014366667,0.2578926189,0.0969541195666667,0.0248997045,0,0
"2-Pentanol",0,0,0,0,0,0,0,0,0,0,0.0310500852333333,0.0162611126666667,0,0,0,0
"2-Pentanone, 3-methyl-",0,0,0,0,0,0,0,0.001365438,0.00453030586666667,0.00949468053333333,0,0.00542371736666667,0.00342597776666667,0,0,0
"2-Pentene, 3-methyl-",0,0,0,0.001781078,0,0,0,0,0,0,0,0,0,0,0,0
"2-Propanol, 1,1,1,3,3,3-hexafluoro-",0,0,0,0,0,0,0,0,0,0.00552698576666667,0,0,0,0,0,0
"2-Propanone, 1,1,1-trifluoro-",0,0,0,0,0,0.23595752,0,0,0,0,0,0,0,0,0,0
"2-Propen-1-ol",0.0331885307,0,0,0,0,0,0.0560983871,0,0,0,0,0,0.0065304001,0,0,0
"2-Propenenitrile",0,0,0,0,0,0,0,0.0062620326,0.0134975700666667,0,0,0.0542292807333333,0,0,0,0
"2-Propenoic acid, methyl ester",0,0,0,0,0,0,0,0.0018996419,0,0.00907634936666667,0.0095221259,0,0,0,0.0092282263,0
"2-Thiophenecarboxaldehyde",0,0.0010993239,0,0,0,0,0.00115586796666667,0,0,0,0.00339129246666667,0,0,0,0.0080530411,0
"2-Trifluoroacetoxydodecane",0,0,0,0.00229159313333333,0,0,0,0,0,0,0,0,0,0,0,0
"2,3-Bis(trifluoromethyl)buta-1,3-diene",0,0,0,0,0,0,0,0,0,0.0012659801,0,0,0,0,0,0
"2,3-Butanedione",0,0,0,0.0301257923333333,0,0,0,0,0,0,0,0,0,0,0,0
"2,4-Di-tert-butylphenol",0,0,0,0,0,0,0,0,0,0.0117216663666667,0,0,0.0450707509333333,0,0,0
"2,4-Dithiapentane",0,0,0,0,0,0,0,0,0.0096249698,0.00234232606666667,0.0025858608,0.00471183453333333,0,0,0,0
"2,4-Hexadienal, (E,E)-",0.00745800753333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
