"","Blood1SS2","Blood1SS3","Blood1SS4","Blood1SS5","Blood1SS6","Blood2SS2","Blood2SS3","Blood2SS4","Blood2SS5","Blood2SS6","Blood3SS5","Blood3SS6"
"1H-3a,7-Methanoazulene, 2,3,4,7,8,8a-hexahydro-3,6,8,8-tetramethyl-, [3R-(3α,3aβ,7β,8aα)]-",0,1.3165666605,0,0,0,0,0,0,0,0,0,0
"1H-Indene, 1-ethylidene-",0.1801113033,0,0,0,0,0,0,0,0,0.024166088,0,0
"1H-Indene, 1-ethyloctahydro-7a-methyl-, (1α,3aβ,7aα)-",0,0,0,0,0,0,0,0,0,0,0.0642951633333333,0
"1H-Indene, octahydro-, cis-",0,0,0,0,0,0,0,0,0,0,0.0934317866666667,0
"1H-Isoindole, 3-methoxy-4,7-dimethyl-",0,0,0,0,0.14899125,0,0,0,0,0,0,0
"1H-Pyrazole, 3-methyl-5-(trifluoromethyl)-",0,0,0,0.0255662225,0,0,0,0,0,0,0,0
"1H-Pyrazolo[3,4-d]pyrimidin-4-amine",0,0.0529709575,0,0,0,0,0,0,0,0,0,0
"1H-Pyrrole, 1-methyl-",0,0,0,0.226496601433333,0,0.00138231955,0.00929462885,0,0.0152273530666667,0,0,0
"1H-Pyrrole, 2-methyl-",0,0.4976856755,0,0,0,0,0,0,0,0,0,0
"1H-Pyrrole, 2,5-dimethyl-",0,0,0,0.133661916833333,0,0,0,0,0,0,0,0
"1H,1H,2H-Perfluoro-1-octene",0,0,0,0,0.0083529975,0,0,0,0,0,0,0
"2-(1-Methyl-2-propenyl)phenol",0,0,0,0,0.00979210515,0,0,0,0,0,0,0
"2-(2-Methylpropyl)-3-(1-methylethyl)pyrazine",0,0,0,0,0,0.0014267687,0.0151213154,0,0,0,0,0
"2-(2-Methylpropyl)-3,5,6-trimethylpyrazine",0,0,0,0,0,0,0.08285846115,0,0,0,0,0
"2-(Pentadec-14-en-1-yl)furan",0,0,0,0,0,0,0.0969723722,0,0,0,0.0110117303333333,0
"2-Butanol",0,0,0,0,0,0.00345871765,0.6075395232,0,0,0,0,0
"2-Butanone, 3-methyl-",0,0,0,0,0,0,0,0,0,0,0.00301046733333333,0
"2-Butanone, 3,3-dimethyl-",0.00173003555,0.287792909,0,0,0,0,0,0,0,0,0,0
"2-Butanone, 4-(dimethylamino)-3-methyl-",0,0,0,0,0,0,0.52189342125,0,0,0,0,0
"2-Butenal",0,0.0101025585,0,0,0,0,0,0,0,0,0,0
"2-Butenal, 2-ethenyl-",0.010250007,0,0,0,0,0.1024428833,0,0,0,0,0,0
"2-Butenal, 2-methyl-",0.00887771815,0,0.0409008976,0,0.0224290229,0,0.3733764686,0,0,0,0,0
"2-Butene, 1-methoxy-",0,0,0,0,0.0163562193,0,0,0,0,0.020529529,0,0
"2-Butyl-δ1-pyrroline",0,0,0,0,0,0.0062530781,0.00676571275,0,0,0,0,0
"2-Chloroethanol",0,1.1250211725,0,0,0.0250781625,0,0.75370282445,0,0,0,0,0
"2-Cyclohexen-1-one, 3-methyl-",0,0,0,0,0,0,0.00415052035,0,0,0,0,0
"2-Cyclopenten-1-one, 2-methyl-",0.00951560915,0,0,0,0.02067151955,0.0884030548,0,0,0,0,0,0
"2-Dodecanone",0.0024877059,0,0,0,0,0,0,0,0,0,0,0
"2-Ethyl-1-dodecanol",0,0,0,0,0,0,0,0,0,0,0,0.0682393813333333
"2-Ethyl-2,3-dihydro-1H-indene",0,0,0.0207952810666667,0,0,0,0,0,0,0,0,0
"2-Ethyl-6-isopropyl pyridine",0,0,0,0,0,0,0.2517416191,0,0,0,0,0
"2-Ethylacrolein",0,0,0,0,0,0.0158359869,0,0,0,0,0,0
"2-Ethylhexyl acrylate",0,0.004477772,0,0,0,0,0.0064466644,0,0,0,0,0
"2-Ethylhexyl salicylate",0,0,0,0,0,0,0,0,0,0.016056221,0,0
"2-Ethynyl pyridine",0,0,0,0.0507340604,0,0,0,0,0,0.004476829,0,0
"2-Furancarbonitrile",0.00319729775,0,0,0,0,0,0.0584858023,0,0,0,0,0
"2-Furancarboxaldehyde, 5-methyl-",0.0008281365,0,0,0.0121619878,0,0,0.1664864988,0,0,0,0,0
"2-Heptanone, 6-methyl-",0,0.6186305555,0,0,0,0.0025845853,0.67043380275,0,0,0,0,0
"2-Heptanone, 7,7,7-trichloro-",0,0,0,0,0,0.06101114845,0,0,0,0,0,0
"2-Hexanone",0.09093196215,0,0,0,0,0,0,0,0,0,0,0
"2-Hexanone, 4-methyl-",0,0,0,0,0,0,0.01252493825,0,0,0,0,0
"2-Hexanone, 5-methyl-",0,0,0,0,0,0,0.07458606985,0,0,0,0,0
"2-Hexenal",0.0146279637,0,0,0,0,0,0,0,0,0,0,0
"2-Hexene, 3-methyl-",0,0.256219599,0,0,0,0,0,0,0,0,0,0
"2-Hexene, 3,5-dimethyl-",0,0,0,0,0,0,0,0,0,0,0.0728338756666667,0
"2-Hydrazinoethanol",0,0,0,0,0,0,0,0,0.0145703258333333,0,0,0
"2-Isobutyl-3-methylpyrazine",0,0,0.00785188156666667,0,0.96341597355,0.0154946093,0.0067698911,0.00341195463333333,0.0021354685,0.009845483,0,0
"2-Isobutyl-4-methylpyridine",0,0,0,0,0,0,0.01307075535,0,0,0,0,0
"2-Isopropylpyrazine",0,0,0,0.240557129533333,0.04758502485,0,0,0,0,0,0,0
"2-Methyl-1-undecanol",0,0,0,0,0,0.00854002355,0,0,0,0,0,0
"2-Methyl-3-isopropylpyrazine",0,0,0,0,0,0.0214880348,0.0032127175,0,0.0025110786,0,0,0
"2-Naphthalenol",0.01791854805,0,0,0,0,0,0,0,0,0,0,0
"2-Nonanone",0.4946252274,0,0,0,0,0,0.8078592278,0,0,0,0,0
"2-Octanone",0,0,0,0,0.00251089645,0,0,0,0,0,0,0
"2-Octene",0,0,0,0,0,0,0,0.00941593046666667,0,0,0,0
"2-Pentanol",0.01017714575,0,0,0,0.00667580155,0.00093408835,0,0,0,0,0,0
"2-Pentanol, acetate",0,0.0604779065,0,0,0,0,0,0,0,0,0,0
"2-Pentanone, 3-methyl-",0,0,0,0,0,0,0.0144367782,0,0,0,0,1.226162544
"2-Pentenal",0.0278828486,0,0,0,0,0.00991458535,0,0,0,0,0,0
"2-Pentene",0,0.0094932965,0,0,0,0,0.41800422985,0,0,0,0,0
"2-Propanol, 1-(2-methoxypropoxy)-",0.0101775364,0,0,0,0,0,0,0,0,0,0,0
"2-Propanol, 1-butoxy-",0,0,0,0,0,0,0,0,0,0,0.0219935366666667,0
"2-Propanol, 1-methoxy-",0.0051360628,0,0,0,0,0,0,0,0,0,0,0
"2-Propanol, 1,1,1,3,3,3-hexafluoro-",0.01290929185,0,0,0,0.0242224547,0,0,0,0,0,0,0
"2-Propanol, 1,3-dichloro-",0,0,0,0,0,0,0,0,0,0.00897909,0,0
"2-Propanone, 1-hydroxy-",0.02190916145,0,0,0,0,0.0016766617,0,0,0,0,0,0
"2-Propen-1-ol",0.03677723435,0,0,0,0,0.05693884455,0,0,0,0,0,0
"2-Propenal",0,0,0,0,0,0,0,0,0,0,0.00769955666666667,0
"2-Propenenitrile",0.0123781022,0,0,0,0,0,0,0,0,0,0,0
"2-Propenoic acid, methyl ester",0,0,0,0,0,0,0,0.0150549607666667,0,0,0,0
"2-Tetradecanone",1.0724846877,0,0,0,0,0,0,0,0,0,0,0
"2-Thiophenecarboxaldehyde",0.43654020005,0,0,0,0,0,0,0,0,0,0,0
"2-Undecanethiol, 2-methyl-",0.0063334584,0,0,0,0,0,0,0,0,0,0,0
"2-Undecanone",0,0,0,0,0,0,0.0116796106,0,0,0,0,0
"2,2-Dimethoxybutane",0,0.0069877855,0,0.0090101456,0,0.08177329475,0.0258889411,0,0,0,0,0
"2,2-Dimethylindene, 2,3-dihydro-",0,0,0,0,0.00597040825,0,0.44459905625,0,0,0,0,0
"2,2,3,3-Tetrafluoro-1-propanol",0,0,0,0,0.0745166283,0,0,0,0,0,0,0
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",0.00787412185,0,0,0,0,0,0,0,0,0,0,0
"2,2,7,7-Tetramethyloctane",0,0,0,0,0,0,0,0,0,0.2195871155,0,0
"2,2'-Difluorobiphenyl",0,0,0,0,0,0,0,0,0,0.004397654,0,0
"2,3-Dimethyl-3-heptene",0.0046094878,0,0,0,0,0,0.0013688646,0,0,0,0,0
"2,3-Hexanedione",0.5100553776,0,0,0,0,0,0,0,0,0,0,0
