"","D2d0","D2d1","D2d2","D2d4","D2d5","D2d6","D2d7","D2d8","D2d9","D2d10","D2d11","D2d12","D2d13","D2d14","D2d15","D2d16","D2d17","D2d18","D2d21","D2d26","D2d28","D2d30","D2d32","D2d35","D2d42","D2d49","D2d57","D2d65","D2d74","D2d81","D2d87"
"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0447305371333333,0.075168449,0.0210803268333333,0,0,0,0,0.0370509993666667,0,0,0,0,0
"(3aR,4R,8R,8aS)-3a,4,7,8a-Tetramethyl-1,2,3,3a,4,5,8,8a-octahydro-4,8-methanoazulene",0,0.00558200133333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(3aR,4R,8R,8aS)-3a,4,8a-Trimethyl-7-methylenedecahydro-4,8-methanoazulene-rel-",0,0.0137285653333333,0.0141367286666667,0,0,0.00197357306666667,0,0.0054435827,0.0067882551,0.00987346146666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(CH3)2C=CHCN",0,0,0,0,0,0,0,0.0137811747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(R)-(-)-2-Amino-1-propanol",0,0,0,0,0,0,0,0.0110385156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(R)-(-)-3-Methyl-2-butanol",0,0,0,0,0,0,0,0,0.17434133185,0.223562808933333,0.20340094,0,0.176862922166667,0.347525442866667,0,0,0.395679358,0,0,0.248960850533333,0.0615264896333333,0,0,0,0,0,0,0,0,0,0
"(Z)-3-Heptene",0,0,0,0,0,0,0,0.0034213494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"(Z)-Undec-6-en-2-one",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0149461577333333,0,0,0,0,0,0,0.0865397813333333,0,0,0,0,0,0,0,0,0
"[1,1':3',1''-Terphenyl]-2'-ol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0591056203333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-(2,4-Dihydroxyphenyl)-2-(4-methoxy-3-nitrophenyl)ethanone",0,0,0,0,0,0,0,0,0.00352235345,0.0056388049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Butanol",0,0,0,0,0,0,0,0,0,0,0,0,5.70129908636667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Butanol, 2-ethyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0115341293333333
"1-Butanol, 2-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168100278933333,0,0,0,0,0,0,0,0,0,0,0,0
