"","FootB_SS3","FootB_SS4","FootB_SS6","FootB_SS6Indoor"
"Hexane, 2,2,5-trimethyl-",0,0,0,0.0855135086333333
"Hexane, 3-ethyl-2-methyl-",0,0,0,0.0084542041
"Hexane, tetradecafluoro-",0.0360466534,0,0,0
"l-Leucine, n-butoxycarbonyl-N-methyl-, undecyl ester",0,0,0,0.0557425138333333
"Methane, bromodichloro-",0,0,0,0.000429641166666667
"Methane, isothiocyanato-",0.00380431023333333,0,0,0
"Methane, tribromo-",0,0.0003600841,0,0
"Methenamine",0,0,0,0.0780773719666667
"Methyl isocyanide",0.241958517,0,0,0
"Nitric oxide",0,0.01596271945,0,0
"Nonane, 3,7-dimethyl-",0,0,0,0.0146492042
"Nonane, 4,5-dimethyl-",0,0,0,0.00533297553333333
"Octane, 2,7-dimethyl-",0,0,0,0.00790236416666667
"Octane, 4-ethyl-",0,0,0,0.0171812002666667
"p-Cymene",0,0,0,0.174379713533333
"p-Mentha-1,5-dien-8-ol",0,0,0,0.194915768033333
"Pentanal, 3-methyl-",0,0.00360689935,0,0
"Pentanoic acid",0,0,0,0.0032838336
"Pentanoic acid, 2,2,4-trimethyl-3-hydroxy-, isobutyl ester",0,0.01229578835,0,0
"Pentanoic acid, 4-methyl-",0,0,0,0.0399780178666667
"Phenol, 2-chloro-",0,0,0,0.0004408903
"Phenol, 2-methyl-",0.00298585653333333,0,0,0
"Phenol, 3-fluoro-",0,0,0,0.000868508333333333
"Phenol, p-tert-butyl-",0,0,0.00619395733333333,0
"Phthalic acid, 2-isopropylphenyl methyl ester",0,0.00255282895,0,0.00964692393333333
"Propanal",0,0,0,0.044490447
"Propanal, 2-methyl-",0,0.01070661105,0,0
"Propane, 1,1,2,2-tetrafluoro-",0,0.00273133355,0,0
"Propane, 2-iodo-",0.00846410736666667,0,0,0
"Propanoic acid",0,0,0,0.0276156011666667
"Propanoic acid, 2-methyl-",0,0,0,0.0848828686333333
"Propanoic acid, 2,2-dimethyl-",0,0,0,0.0052812101
"Propylene Glycol",0,0.22021910085,0,0
"Stearic acid hydrazide",0,0.04074295635,0,0
"Sulfurous acid, butyl octyl ester",0,0.00122801035,0,0
"Tetrahydropyran",0.00285287663333333,0,0,0
"Thiocyanic acid, methyl ester",0.00309044686666667,0,0,0.0005433007
"Thiourea, tetramethyl-",0,0,0,0.00455516703333333
"trans-3-Caren-2-ol",0,0,0,0.324290919966667
"Tridecane, 5-methyl-",0,0,0,0.0273247306666667
"Undecane, 3,5-dimethyl-",0,0.0016036779,0,0
"Undecane, 4,7-dimethyl-",0,0,0,0.00818832853333333
"Vinylcyclopentane",0.00135464023333333,0,0,0
"α-Pinene",0.00836995463333333,0,0,0
"β-Myrcene",0,0,0,0.115435863033333
"β-Ocimene",0,0,0,0.0156885351333333
"β-Phellandrene",0,0,0,0.0273528093
"γ-Terpinene",0,0,0,0.0124358633666667
