"","D6d0","D6d1","D6d2","D6d3","D6d4","D6d5","D6d6","D6d7","D6d8","D6d9","D6d10","D6d11","D6d13","D6d15","D6d17","D6d20","D6d22","D6d24","D6d27","D6d29","D6d45","D6d51","D6d59","D6d66","D6d73"
"1-Penten-3-ol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0851240635666667,0,0,0,0,0,0,0,0
"1-Penten-3-one",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0286565461,0,0,0.0112172953666667,0.0077396478,0,0,0,0
"1-Pentene, 2,4-dimethyl-",0,0,0,0,0,0.00245782666666667,0,0,0,0,0,0,0,0,0.0020118021,0,0,0,0,0,0,0.00175535225,0,0,0
"1-Pentene, 2,4,4-trimethyl-",0,0,0,0,0,0,0.0259381452333333,0,0.0242163651666667,0,0,0,0,0,0.0149478182,0.0288285926,0,0,0,0,0.0135796344666667,0,0,0,0
"1-Propanol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2436834838,0,0,0
"1-Propanol, 2-methyl-",0,0,0,0,0,0,0,0,0.00845198583333333,0.152712151533333,1.1408565329,0,0,0,0,0.9379490383,0,0,0,0,0.2882987165,0,0.267770439466667,0.109258149866667,0
"1-Propanol, 3-(methylthio)-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0184206991666667,0,0,0,0,0,0,0,0
"1-Propen-2-ol, acetate",0,0.00997283703333333,0.0116748076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1-Propene, 2-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163362913066667,0,0,0.2801674123,0,0,0,0,0
"1-Tetradecene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0712172596,0,0,0,0,0,0,0,0,0.00408328883333333,0
"1,1-Dichloro-1-fluoroethane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121505553333333
"1,1,1,4,4,4-Hexafluorobut-2-ene",0,0,0.0199196598,0,0,0,0,0,0,0,0,0.0221430486666667,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,2-Benzenediol, o-(4-methoxybezoyl)-o'-(5-chlorovaleryl)-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00366191323333333,0,0,0,0,0,0
"1,2-Butanediol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126053935,0,0,0,0,0
"1,2-Ethanediamine, N,N,N'-trimethyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0280228437333333,0,0
