"Name","D1d0","D1d1","D1d2","D1d4","D1d5","D1d6","D1d7","D1d8","D1d9","D1d10","D1d11","D1d12","D1d13","D1d14","D1d15","D1d16","D1d17","D1d18","D1d21","D1d26","D1d28","D1d30","D1d32","D1d35","D1d42","D1d49","D1d56","D1d65","D1d74","D1d81","D1d87","D2d0","D2d1","D2d2","D2d4","D2d5","D2d6","D2d7","D2d8","D2d9","D2d10","D2d11","D2d12","D2d13","D2d14","D2d15","D2d16","D2d17","D2d18","D2d21","D2d26","D2d28","D2d30","D2d32","D2d35","D2d42","D2d49","D2d57","D2d65","D2d74","D2d81","D2d87","D3d0","D3d1","D3d2","D3d3","D3d4","D3d5","D3d7","D3d11","D3d14","D3d16","D3d19","D3d24","D3d32","D3d38","D4d0","D4d1","D4d3","D4d4","D4d7","D4d9","D4d12","D4d31","D6d0","D6d1","D6d2","D6d3","D6d4","D6d5","D6d6","D6d7","D6d8","D6d9","D6d10","D6d11","D6d13","D6d15","D6d17","D6d20","D6d22","D6d24","D6d27","D6d29","D6d45","D6d51","D6d59","D6d66","D6d73","D8d0","D8d1","D8d2","D8d3","D8d4","D8d5","D8d6","D8d9","D8d11","D8d13","D8d16","D8d18","D8d20","D8d24","D8d27","D8d31","D8d34","D8d39","D8d46","D8d53","D8d66","D8d72","D10d0","D10d1","D10d2","D10d3","D10d4","D10d6","D10d9","D10d11","D10d13","D10d16","D10d18","D10d20","D10d24","D10d27","D10d30","D10d34","D11d0","D11d1","D11d2","D11d3","D11d6","D11d8","D11d10","D11d14","D11d17","D11d20","D11d24","D11d27","D11d30"
"3-Octanol",0,0,0,0,0,0.00245587033333333,0.0036873015,0.004047644,0.0154473885,0.0185228256666667,0.0168769463333333,0.0116164316666667,0.0247111408,0.0240716896666667,0.078244347,0.0167904103333333,0.0159043736666667,0.00917844633333333,0.0119487372666667,0,0,0.0026552486,0,0,0,0.0283999244333333,0,0,0,0,0,0,0,0,0,0,0,0.00141427243333333,0.0034031116,0.0086906366,0.0119913185333333,0.008949416,0.00552819046666667,0.00718860166666667,0.0205398025666667,0.0134222939,0.0245503252,0.0437400403333333,0.0427085752333333,0.121879836066667,0.0447471242333333,0.0075656675,0.122306247833333,0.0076273554,0.00206417353333333,0,0.0043600846,0,0,0,0,0,0.00477260743333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00209398926666667,0,0,0,0,0,0,0,0,0,0,0,0.005141289,0.0074366888,0.0128953874333333,0.0210343196333333,0.0408983424333333,0.0141215723333333,0.0171005767333333,0.0116409122666667,0.0060176198,0,0,0,0,0,0,0,0,0,0,0,0.0120822003666667,0,0,0.0102844072333333,0.0120418972666667,0.0434609134666667,0.0057639273,0.0109361563,0,0.0105980786666667,0,0,0,0,0,0.0642446776333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0034488138,0,0,0,0,0,0,0,0,0,0,0,0
"Benzene, 1,4-dichloro-",0,0,0,0,0,0.0017688219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00267048233333333,0,0,0.0048127132,0,0,0,0,0,0,0,0,0,0,0.0010665782,0,0,0,0,0,0,0,0,0,0.00250811883333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00178132896666667,0,0,0,0,0,0,0,0.00228943826666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00241384963333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0069304401,0,0,0,0,0,0,0,0,0,0,0
"Dimethyl sulfone",0,0,0,0,0,0.00463618393333333,0.067502805,0.0322780998333333,0.1107632435,0,0.791901357666667,0.54290694,0.134478717733333,0.77284722,3.30945326733333,0.135833448,0.207116848333333,0.153052559,0,0,0.1523614713,0,0.00982968633333333,0.0131668466333333,0,0,0,0,0,0,0,0,0,0,0,0,0.0054955033,0.0217476331,0.0533336911,0.0833959029,0.681497800166667,0.0952615586666667,0.0970023285666667,0.0569309123333333,0.191368368533333,0.0784884737666667,0.1144674091,0.196505418,0.1167362518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00447290113333333,0,0.0156074516666667,0,0.0148222921666667,0.0120892545,0.06643921,0.123393951333333,0.0631112502333333,0.108494311466667,0.0332042827333333,0,0,0.00605522343333333,0,0,0,0,0,0,0,0,0.170277606133333,0.0248980509333333,0.0389675801333333,0.0239639632666667,0.0133931919,0,0.00886768513333333,0.0131724596666667,0.00501924786666667,0.0027928201,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00276733043333333,0.00479584433333333,0.0260467859,0.0042632928,0.00323317926666667,0.00229064853333333,0,0,0,0,0,0,0,0,0.0082558375,0,0,0.00458070666666667,0,0,0
"Butyl 2-methylbutanoate",0,0,0,0,0,0.0337585904,0.08275392,0.0467761617666667,0.135322941,0.155801349666667,0.185599104666667,0.194212159333333,0.2812827825,0.270591033,0.607439966666667,0.15615784,0.096332289,0.0376917416666667,0.0342078911666667,0,0,0,0,0,0,0.0417607228333333,0,0,0,0,0,0,0,0,0,0,0.00656312536666667,0.0502250457666667,0.1369413315,0.1778520069,0.2305031814,0.163713067,0.0768279679,0.0959707163,0.168694000466667,0.0450956838666667,0.0361638983666667,0.0274632683333333,0.011022792,0.00687679986666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00658613273333333,0.00535084293333333,0.05176761,0.143950718233333,0.124564862333333,0.2340238223,0.132023275,0.0531778179,0,0.00496613253333333,0,0.007673933,0,0,0,0,0,0,0.00548668906666667,0.159347209733333,0.0914786858666667,0.0885025359666667,0.0127104614333333,0.0092502803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butanoic acid, 3-methyl-, butyl ester",0,0,0,0,0,0.0095668817,0.02461714,0.0122909056333333,0.031802174,0.048474164,0,0.0709611833333333,0.0966175221666667,0.0925760523333333,0.184922358333333,0.0461040573333333,0.0307099576666667,0.013702294,0.0138683812333333,0.0116796007666667,0,0,0,0,0,0.0150365434666667,0,0,0,0,0,0,0,0,0,0,0,0.00156258976666667,0.0038420103,0.0036392453,0.00460532316666667,0,0,0,0.0043950721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0047135463,0.0044325265,0.0425674590333333,0.109726327166667,0.0808492896666667,0.1159894963,0.0818189837666667,0.0330633102333333,0.0025141988,0.00374249473333333,0.00512263943333333,0.00495706,0,0,0,0,0,0,0,0.0156318835666667,0,0.0103669894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benzene, iodo-",0,0,0,0,0,0.00189605343333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00441409896666667,0,0.0023570234,0,0.00960657913333333,0,0,0.004224753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001980619,0,0,0,0.00364933216666667,0,0,0,0,0,0.00187375646666667,0,0,0,0,0,0,0,0.00325805093333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021636001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00398213555,0,0,0,0,0,0,0,0,0,0
"Dihydro-2(3H)-thiophenone",0,0,0,0,0,0.002477714,0.0050790635,0.0035587161,0.012224664,0.0116350796666667,0.0223981596666667,0.0112883666666667,0.0148848492,0.011806182,0.047735611,0.00795781366666667,0,0.00407117866666667,0,0.00363669416666667,0,0,0.00157256766666667,0.00375419926666667,0,0.0247109666666667,0,0,0,0,0,0,0,0,0,0,0,0.00208235373333333,0.0029794401,0.01532147415,0.0448556312333333,0.035084603,0.0268207299666667,0.0225892021333333,0.0360177734333333,0.0192238866333333,0.0206404064,0.0165651496666667,0.00851376566666667,0.0258295069333333,0.0046213541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00194009273333333,0,0.0039565669,0.00950781063333333,0.0104673773333333,0.00539336376666667,0,0,0.0024778458,0.00233206743333333,0,0,0,0,0,0,0,0,0.00165520673333333,0.0699488497333333,0.0211129943333333,0.0085889534,0.00758890126666667,0.0025889562,0,0.00101128406666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ethanol, 2,2'-oxybis-",0,0,0,0,0,0.0750293542333333,0.162320405,0.114963124833333,0,0.222639027666667,0,0.217796828333333,0,0,0,0,0,0.1821808,0.0151663972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202196604633333,0.2823599683,0,0.1926597655,0,0,0,0,0.0895844561666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0243705592666667,0,0,0.2740167357,0,0,0,0,0.2422669095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hexanoic acid, butyl ester",0,0,0,0,0,0.0115071406,0.03279794,0.0126681434666667,0.0188913035,0.0311852663333333,0.0498008136666667,0.0656994396666667,0.0744063637,0.057677533,0.119002602,0.0258450733333333,0.0245477103333333,0.007661755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0352129527,0.0417356426666667,0.0892250962333333,0.0440812516333333,0.0109893189333333,0,0,0,0,0,0,0,0,0,0,0,0.119220647666667,0.0664341997333333,0.0632319251666667,0.0061063307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benzene, pentyl-",0,0,0,0,0,0.00180909876666667,0.0066528415,0,0,0,0,0,0,0,0,0,0,0,0.015743804,0,0,0,0,0,0.00911835586666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111954693333333,0,0,0,0,0,0,0.00890969366666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00722027396666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028654857,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0113970088333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00986222295,0,0,0,0,0,0,0,0,0,0
"Disulfide, methyl (methylthio)methyl",0,0,0,0,0,0.0092963706,0.03764644,0.0249977829,0.0801305775,0.052320464,0.0406163676666667,0.044235343,0.0461572499333333,0.031695097,0.147004085,0.0385962793333333,0.047263409,0.0305502223333333,0.0393905405,0.0136329172,0.0780700949,0.0056137239,0.003190683,0,0,0.0268378598,0,0,0,0,0,0,0,0,0,0,0.00389667733333333,0.0185939906,0.0110287135,0.0625051043,0.0456194482666667,0,0.0097182008,0.00590354613333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00715900036666667,0,0.018691875,0.0233473540333333,0.0338801743333333,0,0,0.00312427076666667,0,0,0,0,0,0,0,0,0,0.0209187717666667,0.00807324383333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038956491,0.00475740733333333,0.0035803159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p-Cresol",0,0,0,0,0,0.00922004333333333,0.031470175,0,0.0330751675,0.0545767553333333,0.0852917376666667,0.0554147406666667,0.0932205996333333,0.0855080953333333,0.254884592666667,0.0553324513333333,0.0573607163333333,0,0.0281623606333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00823986126666667,0.007747569,0.01662299135,0.0265093567333333,0.0133314753333333,0,0.0276839819,0.0606540808333333,0.0330635756666667,0,0.0622316163333333,0,0.0564853338333333,0,0.0703225708333333,0.513811195033333,0.0670009912333333,0.0116319711333333,0,0,0.0018365262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00120255613333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00588910026666667,0,0,0.0124853166666667,0,0.0135789967333333,0.0863665689333333,0.397944693033333,0.442735378666667,0.6112210065,0.377216586166667,0,0.02665016825,0.0870799503333333,0.0310673479,0.0120054913333333,0,0,0,0,0,0,0.0113480898,0.6087654515,0.1899704747,0.299847150533333,0.437738722033333,0.197372618633333,0,0.118869505633333,0,0,0.149733372433333,0.392115024666667,0.0558505019666667,0.132664521966667,0.0237668807333333,0.0101502903,0,0,0,0,0,0,0,0,0,0.0801484784666667,0.675228836533333,0.2652418036,0.113873257833333,0.0197805917333333,0,0,0,0,0.00186025245,0,0,0,0.0115044777333333,0,0,0.00663558933333333,0,0,0
