"","Tissue1_SS2","Tissue1_SS3","Tissue1_SS4","Tissue1_SS5","Tissue1_SS6","Tissue2_SS2","Tissue2_SS3","Tissue2_SS4","Tissue2_SS5","Tissue2_SS6","Tissue3_SS5","Tissue3_SS6"
"1(2H)-Naphthalenone, 3,4-dihydro-3,3,6,8-tetramethyl-",0,0,0,0,0,0.00079893155,0,0,0,0,0,0
"11,14-Eicosadienoic acid",0,0,0,0,0,0,0,0,0,0,0.00985013376666667,0
"12-Crown-4",0,0,0,0,0,0,0,0,0,0.019659271,0,0
"1H-1,2,4-Triazole",0.0656262588,0.0515178386666667,0.0141659514,0,0,0,0,0,0.0330067033666667,0.091248465,0,0
"1H-Inden-1-one, 2,3-dihydro-",0,0,0,0,0,0.0007262407,0,0,0,0,0,0
"1H-Indene, 1-ethylidene-",0.06167914025,0,0,0,0,0,0,0,0,0,0,0
"1H-Indene, 2,3-dihydro-1,1-dimethyl-",0,0,0,0,0,0.0039691433,0,0,0,0,0,0
"1H-Indene, 2,3-dihydro-1,1,2,3,3-pentamethyl-",0,0,0,0,0,0,0,0,0,0.009801485,0,0
"1H-Indene, 2,3-dihydro-1,1,3-trimethyl-",0,0,0,0,0,0,0,0,0.0055363675,0,0.01241496,0
"1H-Indene, 2,3-dihydro-1,6-dimethyl-",0,0,0,0,0,0.00239744925,0,0,0,0,0,0
"1H-Pyrazole, 3-methyl-5-(trifluoromethyl)-",0,0,0,0.0021460933,0,0,0,0,0,0,0,0
"1H-Pyrrole-2,5-dione",0,0,0,0,0,0,0,0,0,0.0047503285,0,0
"1H-Pyrrole, 1-methyl-",0,0.00358190116666667,0,0,0,0,0.00398924166666667,0,0.00264808926666667,0,0,0
"1H-Pyrrole, 2-methyl-",0,0,0,0,0,0,0.0111447763333333,0,0,0,0,0
"1H-Pyrrole, 2,5-dimethyl-",0,0,0,0,0.0146707823333333,0.00061015975,0,0.0026903289,0.00291848676666667,0,0,0.0134363053333333
"1H-Pyrrole, 3-methyl-",0,0,0,0,0.119771306666667,0,0,0,0,0,0,0
"2-Amino-1,3-propanediol",0,0,0,0,0,0,0,0,0,0.0021731965,0,0
"2-Bromomethyl-1,3-dioxolane",0,0,0,0,0,0,0.00547825033333333,0,0,0,0,0
"2-Butanone, 3-methyl-",0,0,0,0,0,0.06873072745,0,0,0,0,0,0
"2-Butanone, 4-(dimethylamino)-3-methyl-",0.4900420854,0,0,0,0,0,0,0,0,0,0,0
"2-Butenal",0,0,0,0,0,0,0.0115079236666667,0,0,0,0,0
"2-Butenal, 2-methyl-",0,0,0,0,0,0.00953177615,0.0178723106666667,0,0,0,0,0
"2-Butene",0,0,0,0,0,0.042586059,0,0,0,0,0,0
"2-Butyne",0,0,0,0,0,0,0,0,0,0.0077039475,0,0
"2-Carbomethoxyaziridine",0,0,0,0,0,0,0,0,0,0.005555143,0,0
"2-Cyclopenten-1-one",0.01211233265,0,0,0,0,0,0,0,0,0,0,0
"2-Cyclopenten-1-one, 2-methyl-",0.0022273424,0,0.00329181403333333,0,0,0,0,0,0,0,0,0
"2-Dodecen-1-yl(-)succinic anhydride",0,0,0,0,0,0,0,0,0,0,0,0.0371383723333333
"2-Ethylacrolein",0,0,0,0,0,0.00697708215,0,0,0,0,0,0
"2-Ethylhexyl acrylate",0,0.00518112323333333,0,0,0,0,0.00444405,0,0,0,0,0
"2-Ethynyl pyridine",0,0,0,0.102758900866667,0,0,0,0,0,0,0,0.173606603333333
"2-Fluoropyridine",0.0004397116,0,0,0,0,0,0,0,0,0,0,0
"2-Furancarbonitrile",0,0,0,0,0,0.0015674057,0,0,0,0,0,0
"2-Furancarboxaldehyde, 5-methyl-",0.0042522686,0,0,0,0.01571014,0,0,0,0.0016046579,0.020233742,0,0.0115255766666667
"2-Furanmethanol",0,0,0,0,0.00492771366666667,0,0,0,0,0.010750122,0,0.00242634266666667
"2-Heptanone, 6-methyl-",0,0.0174181098333333,0,0,0,0,0.0125781556666667,0,0,0,0,0
"2-Heptanone, 7,7,7-trichloro-",0,0,0,0,0,0.01279569505,0,0,0,0,0,0
"2-Heptene",0,0,0,0,0,0.00345317095,0,0,0,0,0,0
"2-Hexanol",0,0,0,0,0,0.0012935385,0,0,0,0,0,0
"2-Hexen-1-ol",0,0,0,0,0,0,0,0.00259389243333333,0,0,0,0
"2-Hexene, 3-methyl-",0.01375189305,0.0407619964666667,0,0,0,0,0.0441186566666667,0,0,0,0,0
"2-Hexene, 3,5-dimethyl-",0,0,0,0,0,0,0.0708369506666667,0,0,0,0,0
"2-Hydroxy-gamma-butyrolactone",0,0,0,0,0,0,0,0,0,0.0041251015,0,0
"2-Isobutyl-3-methylpyrazine",0,0,0,0,0,0,0.005100902,0,0,0,0,0
"2-Methoxybenzoic acid, 2,4,6-trichlorophenyl ester",0,0,0,0,0,0,0,0,0,0.0226125185,0,0
"2-Nonanone",0,0.0934856842333333,0,0,0,0,0.00902231366666667,0,0,0,0,0
"2-Octanone",0,0,0,0,0,0,0,0,0,0,0.0222156357333333,0
"2-Octene, 4-ethyl-",0.0030574513,0,0,0,0,0.0041131483,0,0,0,0,0,0
"2-Pentanol",0,0,0,0,0,0,0,0,0,0.01008096,0,0
"2-Pentanone, 4-hydroxy-4-methyl-",0,0,0,0,0,0,0,0,0,0,0.0988888765666667,0.253625085333333
"2-Pentene",0,0,0,0,0,0.023214348,0.278595017666667,0,0,0,0,0
"2-Pentene, 2,3-dimethyl-",0,0,0,0,0,0.00277969535,0,0,0,0,0,0
"2-Pentene, 3-methyl-",0,0,0,0,0,0.0104964774,0,0,0,0,0,0
"2-Propanol, 1-(2-butoxy-1-methylethoxy)-",0,0,0,0,0,0,0.017937475,0,0,0,0,0
"2-Propanol, 1-(2-methoxypropoxy)-",0,0,0,0,0,0.0023386684,0,0,0,0,0,0
"2-Propanol, 1,1,1,3,3,3-hexafluoro-",0,0,0,0,0,0.0019700282,0,0,0,0,0,0
"2-Propanol, 1,1'-oxybis-",0,0.0109461696,0,0,0,0,0.0262888013333333,0,0,0,0,0
"2-Propanol, 2-methyl-",0.0020516707,0,0,0,0,0,0,0,0,0,0,0
"2-Propanone, 1-(acetyloxy)-",0,0,0,0,0,0,0,0,0,0.0078436495,0,0
"2-Propanone, 1,1-dichloro-",0,0,0,0,0,0,0,0,0,0.203029198,0,0
"2-Propenoic acid, methyl ester",0,0,0,0,0,0.004805694,0,0,0,0.0043906,0,0.00468048433333333
"2-Thiophenecarboxaldehyde",0,0,0.00137981293333333,0,0,0.00099438245,0,0,0,0,0,0
"2-Undecanethiol, 2-methyl-",0,0,0,0,0,0.00283597775,0,0,0,0,0,0
"2-Vinylfuran",0,0,0,0,0,0.0167573631,0,0,0,0,0,0
"2,2-Dimethoxybutane",0,0.0294520305,0,0,0,0.0730398226,0.021884218,0,0.00977934963333333,0,0,0
"2,2-Dimethyl-3-heptanone",0.0046748086,0,0,0,0,0,0,0,0,0,0,0
"2,2,4,4-Tetramethyloctane",0,1.35237502653333,0,0,0,0,0.649050084,0,0,0,0,0
"2,3-Dimethyl-1-hexene",0,0,0,0,0,0,0,0,0,0.020243796,0,0
"2,3-Dimethyl-3-heptene",0,0,0,0,0,0,0.039247566,0,0,0,0,0
"2,4-Dimethylfuran",0.27576687315,0,0,0,0,0,0,0,0,0,0,0
"2,4,4,5,6-Pentamethyl-5,6-dihydro-4H-1,3-oxazine",0,0,0,0,0.138465129,0,0,0,0,0,0,0
"2,5-Furandione, 3-methyl-",0,0,0,0,0.00453214833333333,0,0,0,0,0,0,0.00348649
"2,6-Lutidine",0.11528639385,0.4841267978,0.102335672133333,0.577098147766667,0.721267005,0,0.391598705666667,0.247998305066667,0.237120076633333,0.8212727445,0.110300155266667,0.721652042333333
"2,6-Octadien-1-ol, 3,7-dimethyl-",0,0.00684687003333333,0,0,0,0,0.0105012496666667,0,0,0,0,0
"2(3H)-Furanone, 5-ethyldihydro-",0,0,0,0,0,0,0,0,0,0.010967418,0,0
"2(3H)-Furanone, dihydro-5-methyl-",0,0,0,0,0,0,0.0126817263333333,0,0,0,0,0
"2(3H)-Furanone, dihydro-5-propyl-",0,0,0,0,0,0.0027935897,0,0,0,0,0.0111502667666667,0
"2(5H)-Furanone, 3-methyl-",0,0,0,0,0.0534059483333333,0,0,0,0,0.0895147575,0,0.031359967
"2(5H)-Furanone, 5,5-dimethyl-",0,0,0.0012296239,0,0,0,0,0,0,0,0,0
"2H-1,2-Oxazine, 6-(4-chlorophenyl)tetrahydro-2-methyl-",0,0,0,0,0,0,0,0,0,0.0069836105,0.0007189994,0
"2H-Oxireno[3,4]cyclopenta[1,2-c]furan-2-one, 1a,1b,4,4a,5,5a-hexahydro-4-(dimethoxymethyl)-, (1bR,1a-cis,4-trans,4a-cis,5a-cis)-",0,0,0,0,0,0,0.0623561866666667,0,0,0,0,0
"2H-Pyran-2-one, tetrahydro-",0,0,0,0,0,0.0066211372,0,0,0,0,0,0
"3-(4-Isopropylphenyl)-2-methylpropionaldehyde",0,0.0048589762,0,0,0,0,0.00506025866666667,0,0,0,0,0
"3-Buten-1-ol",0,0,0,0,0,0,0,0,0,0.008951749,0,0
"3-Buten-1-ol, 3-methyl-",0,0,0,0,0,0,0.00293843033333333,0,0.0029938959,0.00563486,0,0
"3-Buten-2-ol, 2-methyl-",0,0.0022365642,0,0,0,0,0.002608937,0,0,0,0,0
"3-Buten-2-one, 4-(2,5,6,6-tetramethyl-1-cyclohexen-1-yl)-",0,0,0,0,0,0.00136779645,0,0,0,0,0,0
"3-Carene",0.0055964315,0,0,0,0,0,0.0378700583333333,0,0,0,0,0
"3-Cyclohexene-1-carboxaldehyde",0.0013907999,0,0,0,0,0,0,0,0,0,0,0
"3-Ethyl-3-methylheptane",0,0,0,0,0,0.0038035027,0,0,0,0,0,0
"3-Furaldehyde",0,0.00326337973333333,0,0,0,0,0,0,0,0.007127644,0,0
"3-Heptene, 2,6-dimethyl-",0.005401687,0,0,0,0,0,0,0,0,0,0,0
"3-Hexanone, 2,5-dimethyl-4-nitro-",0.21069046905,0,0,0,0,0,0,0,0,0,0,0
"3-Hexene",0,0,0,0,0,0.0237756244,0.0359758453333333,0,0,0,0,0
"3-Hexene, 2,2-dimethyl-",0,0,0,0,0,0,0,0,0,0.014366421,0,0
"3-Octene, 2,2-dimethyl-",0,0,0,0,0,0,0.0210941256666667,0,0,0,0,0
"3-Pentanone, 2,2,4,4-tetramethyl-",0,0,0,0,0,0,0,0,0,0,0,0.0117646616666667
"3-Pentanone, 2,4-dimethyl-",0,0,0,0,0,0,0,0,0,0,0.00370595483333333,0
"3-Penten-2-one, 4-methyl-",0,0,0,0,0,0.02864660085,0,0,0,0,0,0
"3-Pentenoic acid, 4-methyl-",0,0,0.0011739869,0,0,0,0,0,0,0,0,0
"3-Trifluoroacetoxy-6-ethyldecane",0.0091856875,0,0,0,0,0,0,0,0,0,0,0
"3-Undecene",0,0,0.0219873841,0,0,0,0,0,0,0,0,0
"3,4-Difluorobenzonitrile",0,0,0,0,0,0,0,0.00169420606666667,0,0,0,0
"3,4-Dimethyldihydrofuran-2,5-dione",0.00425519075,0,0,0,0,0,0,0,0,0,0,0
"3,5-Dimethylcyclopentene",0,0,0,0,0,0.0093806983,0,0,0,0,0,0
"3,5-Dithiahexanol 5,5-dioxide",0.15517901445,0,0,0,0,0,0,0,0,0,0,0
"3,5,5-Trimethylhexyl acetate",0,0,0,0,0,0,0,0,0,0,0,0.00710182566666667
"3',4'-Difluoroacetophenone",0,0,0,0,0,0,0,0,0,0,0.00104393316666667,0
"4-(2-Acetoxyphenyl)-1-ethyl-3-methyl-5-(4-nitrophenyl)pyrazole",0,0,0,0.0239797907,0,0,0,0,0,0,0,0
"4-Aminostyrene",0,0,0,0,0,0,0,0.0140828993666667,0,0,0,0
"4-Cyclopentene-1,3-dione",0,0,0,0.00246160463333333,0,0,0,0,0,0,0,0
"4-Ethyl-4-methyl-5-methylene-[1,3]dioxolan-2-one",0,0,0,0,0,0.01015406285,0,0,0,0,0,0
"4-Ethylbenzoic acid, tridec-2-ynyl ester",0,0,0,0,0,0,0.00500939266666667,0,0,0,0,0
"4-Methylthiazole",0.00179267085,0,0,0,0,0,0,0,0,0,0,0
"4-Octene",0.00376786185,0,0,0,0,0,0,0,0,0,0,0
"4-Penten-2-one, 4-methyl-",0,0.725875061633333,0,0.742580157766667,0,0,0,0,0.0462819903666667,0,0,0
"4-Piperidinone, 2,2,6,6-tetramethyl-",0,0.00395758076666667,0,0,0,0,0.009032794,0.00353658726666667,0.0028361268,0,0,0
"4-tert-Butylcyclohexyl acetate",0.0091961282,0,0,0,0,0,0,0,0,0,0,0
"4-Trifluoroacetoxytridecane",0,0,0,0,0,0,0,0,0,0.007969864,0,0
"4,7-Methano-1H-inden-6-ol, 3a,4,5,6,7,7a-hexahydro-, acetate",0,0.006977235,0,0,0,0,0,0,0,0,0,0
"4,7-Methano-1H-indene, octahydro-",0,0,0,0,0,0.00478332745,0,0,0,0,0,0
"4,7-Methanoindene, 3a,4,5,6,7,7a-hexahydro-, endo-",0,0,0,0,0,0,0,0,0.0396059578666667,0,0,0
"4(1H)-Pyrimidinone, 6-methyl-",0.00419312075,0,0,0,0,0,0,0,0,0,0,0
"4(3H)-Pyrimidinone, 3-methyl-",0,0,0,0,0,0,0,0,0,0,0,0.00384786966666667
"5-Decene",0.0040600075,0,0,0,0,0,0,0,0,0,0,0
"5-Ethyldecane",0,0,0,0,0,0,0,0,0,0,0.00720678743333333,0
"5-Tridecene",0,0,0,0,0,0,0,0.00488149563333333,0,0,0,0
"5-Undecene",0.00498004255,0,0,0,0,0.00210453035,0.0226323926666667,0,0,0,0,0
"5,9-Undecadien-2-one, 6,10-dimethyl-",0,0.0180986701333333,0,0,0,0,0,0,0,0,0,0
"6-methyl-2-pentylpyridine",0,0,0,0,0,0,0.00385789666666667,0,0,0,0,0
"6-Octen-1-ol, 3,7-dimethyl-, formate",0,0.0162258359666667,0,0,0,0,0.0225699123333333,0,0,0,0,0
"6-Oxa-bicyclo[3.1.0]hexan-3-one",0,0,0,0,0.0131954266666667,0,0,0,0,0,0,0
"7-Acetyl-6-ethyl-1,1,4,4-tetramethyltetralin",0,0,0,0,0,0,0,0,0.00334904726666667,0,0,0
"7,9-Di-tert-butyl-1-oxaspiro(4,5)deca-6,9-diene-2,8-dione",0,0,0,0,0,0,0,0,0,0.0067135385,0,0
"9-Methylbicyclo[3.3.1]nonane",0,0,0,0,0,0,0,0,0.0115619843666667,0.0056430095,0.00928679376666667,0
"9,12-Octadecadienoic acid (Z,Z)-",0,0,0,0,0.0109337153333333,0,0,0,0,0,0,0
"Acenaphthylene",0.0087484619,0,0,0,0,0,0,0,0,0,0,0
"Acetaldehyde",0,0,0,0,0.196839297666667,0,0,0,0,0.1377584265,0,0.100716808
"Acetamide",0,0.0338935286333333,0.00959676493333333,0,0.0125690313333333,0,0,0.0136746501333333,0.00587218496666667,0.1055890455,0,0
"Acetic acid ethenyl ester",0,0,0,0,0,0.0239590752,0,0,0,0,0,0
"Acetic acid, (acetyloxy)-",0,0,0,0,0,0,0,0,0,0,0,0.00804252933333333
"Acetic acid, butyl ester",0,0,0,0.0078419687,0,0,0,0,0,0,0,0
"Acetic acid, hydroxy-",0,0.0084397487,0,0,0,0,0,0,0,0,0,0
"Acetic acid, hydroxy-, methyl ester",0,0,0,0,0,0,0,0,0,0.050520998,0,0
"Acetic acid, phenylmethyl ester",0,0,0,0,0,0,0,0,0.0050531919,0,0,0
"Acetone cyanohydrin",0,0.00777084846666667,0,0,0,0,0,0,0,0,0,0
"Acetonitrile, (dimethylamino)-",0.0013835272,0.0237365547666667,0,0,0,0.003551526,0.0110490623333333,0,0,0,0,0
"Acetonitrile, hydroxy-",0,0,0,0.0426467809333333,0,0,0,0,0,0.0636042155,0.1779568504,0.0596161116666667
"Alanine",0,0,0,0,0,0,0,0.0502806134666667,0,0,0,0
"Aniline",0,0,0,0,0.00798416333333333,0,0,0,0,0.00617985,0.0021307156,0.00558683433333333
"Anisole",0,0,0,0.00228977493333333,0,0,0,0,0,0,0,0
"Aziridine, 1-methyl-",0,0,0,0,0,0,0,0.3635781622,0,1.7931410865,0,0.832919389333333
"Azulene, 1,2,3,5,6,7,8,8a-octahydro-1,4-dimethyl-7-(1-methylethenyl)-, [1S-(1α,7α,8aβ)]-",0,0.00470253243333333,0,0,0,0,0.002954732,0,0,0,0,0
"Benzaldehyde, 2-hydroxy-",0,0,0,0,0,0.00059506445,0,0,0,0,0,0
"Benzaldehyde, 2-methyl-",0,0,0,0,0,0.00457852675,0,0,0,0,0,0
"Benzaldehyde, 4-methoxy-",0.00145653515,0,0,0,0,0,0,0,0,0,0,0
"Benzene, (1-butylheptyl)-",0,0,0,0.0135144482666667,0,0,0,0,0.0368137539333333,0,0.0208438203,0
"Benzene, (1-butylhexyl)-",0.0087131028,0,0,0,0,0,0,0,0,0,0,0
"Benzene, (1-butylnonyl)-",0,0,0,0,0,0.00468843745,0,0,0,0,0,0
"Benzene, (1-butyloctyl)-",0,0,0,0.0087443287,0,0,0,0,0.0411862986,0,0,0
"Benzene, (1-ethylnonyl)-",0.01731279125,0,0,0,0,0,0,0,0,0,0,0
"Benzene, (1-pentylheptyl)-",0,0,0,0,0,0.01140791685,0,0,0,0,0.0222768849,0
"Benzene, (1-propyldecyl)-",0,0,0,0,0,0.0023844784,0,0,0,0,0,0
"Benzene, (1-propylheptyl)-",0.00776533325,0.0090478036,0,0,0,0,0,0,0,0.029265371,0,0
"Benzene, (1-propylnonyl)-",0,0,0,0,0,0,0,0,0,0,0.0089368492,0
"Benzene, (1-propyloctyl)-",0,0,0,0.0045725148,0,0,0,0,0.0186874899333333,0,0,0
"Benzene, 1-chloro-2-(trifluoromethyl)-",0,0,0,0,0,0,0,0,0,0.0051873005,0,0
"Benzene, 1-chloro-3-(trifluoromethyl)-",0,0,0,0,0,0,0.001942907,0,0,0,0,0
"Benzene, 1-ethenyl-2-methyl-",0,0,0,0,0,0,0,0,0,0,0,0.0223559873333333
"Benzene, 1-ethenyl-3-methyl-",0,0.0154533179,0,0,0,0,0,0,0,0,0,0
"Benzene, 1-ethenyl-4-ethyl-",0,0,0,0,0,0,0,0,0,0.0105188125,0,0
"Benzene, 1-ethyl-3-methyl-",0,0,0,0,0,0.2249131018,0,0,0,0,0,0
"Benzene, 1-ethyl-3,5-dimethyl-",0.005021987,0,0,0,0,0,0,0,0,0,0,0
"Benzene, 1-ethyl-4-(2-methylpropyl)-",0,0,0,0,0,0,0.026231781,0,0,0,0,0
"Benzene, 1-ethynyl-4-methyl-",0,0,0,0,0.015280431,0,0,0,0,0,0,0
"Benzene, 1-methoxy-2-methyl-",0,0,0,0.00250633323333333,0,0,0,0,0,0,0,0
"Benzene, 1-methyl-3-(1-methylethyl)-",0,0,0,0,0,0.0100260738,0,0,0,0,0,0
"Benzene, 1-methyl-4-butyl",0,0,0,0,0,0,0,0,0,0,0.0218317022,0
"benzene, 1,1'-(1-methylethylidene)bis[4-methyl-",0.00310988695,0,0,0,0,0,0.00228568666666667,0,0,0,0,0
