"","D3d0","D3d1","D3d2","D3d3","D3d4","D3d5","D3d7","D3d11","D3d14","D3d16","D3d19","D3d24","D3d32","D3d38"
"2,4,7,9-Tetramethyl-5-decyn-4,7-diol",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00936984366666667
"2(3H)-Furanone, dihydro-5-methyl-",0,0,0,0,0,0,0,0,0,0.0039169591,0,0,0,0
"2H-Pyran-2-one, tetrahydro-",0,0,0,0,0,0,0,0,0,0.00332001936666667,0,0,0,0
"3-Furaldehyde",0,0,0,0,0,0,0,0,0,0,0,0.0025860018,0,0
"3-Hexene",0,0,0.00474491423333333,0.00436223993333333,0,0.00350796426666667,0,0,0.00527905643333333,0,0,0,0,0
"3-Methylcyclopentyl acetate",0,0,0,0,0,0,0,0,0,0.0054260319,0,0,0,0
"3-Octanol",0.00477260743333333,0,0,0,0,0,0,0,0,0,0,0,0,0
"3-Octene",0,0.0012885088,0,0,0,0,0,0,0,0,0,0,0,0
"3,5-Difluorobenzaldehyde",0,0,0,0,0.0218812215333333,0,0,0,0,0,0,0,0.00786096326666667,0
"3,5-Difluorobenzonitrile",0,0,0,0,0,0,0,0,0.000774696266666667,0,0,0,0,0
"3',4'-Difluoroacetophenone",0,0,0,0,0.00654233103333333,0,0,0,0,0,0,0,0,0
"4-Cyclopentene-1,3-dione",0,0,0,0,0.00170816546666667,0,0,0,0,0,0,0,0,0
"4,7-Methanoindene, 3a,4,5,6,7,7a-hexahydro-, endo-",0,0,0.0475609570666667,0,0,0,0,0,0,0,0,0,0,0
"5,9-Undecadien-2-one, 6,10-dimethyl-",0.0141700486333333,0,0,0,0,0,0,0,0,0.00862967393333333,0,0,0,0
"7-Acetyl-6-ethyl-1,1,4,4-tetramethyltetralin",0,0,0,0,0,0,0,0,0,0.0015227383,0,0,0,0
"Acetaldehyde",0,0,0,0,0,0.0370520651,0,0,0,0,0,0,0,0
"Acetaldehyde, hydroxy-",0,0,0,0,0,0,0,0,0.0094593592,0.0036592986,0,0,0,0
"Acetic acid, hydroxy-",0.923595168833333,0,0,0,0,0,0,0,0,0,0,0,0.017140502,0
"Acetic acid, methyl ester",0,0.2688029126,0,0,0,0.2588900969,0,0,0,0,0,0,0,0
"Acetic anhydride",0,0,0,0.0176886099,0.0186212454,0,0,0,0,0,0,0,0.1248780202,0
"Acetoin",0.00816456133333333,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acetonitrile",0.0125446883666667,0,0,0,0,0,0,0.711163077266667,0,0,0,0,0,0
"Acetonitrile, hydroxy-",0,0,0,0,0.0638500261333333,0,0,0,0,0,0,0,0,0
"Allyl acetate",0,0,0,0.0359534366333333,0,0,0,0,0,0,0,0,0,0
"Aniline",0,0,0.00226377373333333,0,0,0,0,0,0,0,0,0,0,0
"Anisole",0,0.00493912456666667,0,0,0,0,0,0,0,0,0,0,0.00240953086666667,0.0009848858
"Argon",0.0518428686666667,0,0,0,0,0,0,0.0672364165666667,0,0,0,0,0,0
"Benzene, (1-butylheptyl)-",0,0,0,0,0.0265490874333333,0,0,0,0,0,0,0,0,0.0055632959
"Benzene, (1-butyloctyl)-",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00407753066666667
"Benzene, (1-ethylnonyl)-",0,0,0,0,0,0,0,0.0023334149,0,0,0,0,0,0
"Benzene, (1-methylethyl)-",0.0013147913,0,0,0,0,0,0,0.00490889536666667,0,0,0,0,0,0
"Benzene, (1-methylundecyl)-",0,0,0,0,0,0,0,0.0030031417,0,0,0,0,0,0
"Benzene, (1-pentylheptyl)-",0,0,0,0,0,0,0,0,0,0,0,0,0.0077930133,0
"Benzene, (1-propylnonyl)-",0,0,0,0,0.0169443500666667,0,0,0,0,0,0,0,0,0
"Benzene, (1-propyloctyl)-",0,0,0,0,0.0119296766333333,0,0,0.00227991436666667,0,0,0,0,0,0.00356948263333333
"Benzene, [2,2,2-trifluoro-1-(trifluoromethyl)ethyl]-",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019693043
"Benzene, 1-chloro-4-(trifluoromethyl)-",0,0.00236498696666667,0,0,0,0,0,0,0,0,0,0,0,0
"Benzene, 1-ethyl-3-methyl-",0,0,0,0,0,0.0040963162,0,0,0,0,0,0,0,0
"Benzene, 1-ethyl-4-methyl-",0.00619226223333333,0,0,0,0,0,0,0,0,0,0,0.0053782786,0,0
"Benzene, 1-fluoro-2-(trifluoromethyl)-",0,0.0034528131,0,0.00224109713333333,0,0,0,0,0,0,0,0,0,0
"benzene, 1,1'-(1-methylethylidene)bis[4-methyl-",0.0012115147,0,0,0,0,0,0,0,0,0,0,0,0,0
"Benzene, 1,1'-(1,1,2,2-tetrafluoro-1,2-ethanediyl)bis-",0,0,0,0,0.000703472366666667,0,0,0,0,0,0,0,0,0
"Benzene, 1,2-dichloro-",0,0,0,0,0,0,0,0,0,0,0,0,0.00261078426666667,0
"Benzene, 1,2-difluoro-",0,0,0.00716786676666667,0,0,0,0,0,0,0,0,0,0,0
"Benzene, 1,2,3-trimethyl-",0,0.00504953416666667,0,0,0,0,0,0,0,0,0,0.00766493963333333,0,0
"Benzene, 1,2,4-trimethyl-",0,0,0,0,0.00894460793333333,0,0,0,0,0,0,0,0,0
"Benzene, 1,2,4,5-tetrafluoro-3-(trifluoromethyl)-",0,0,0,0,0.00301042363333333,0,0,0,0,0,0,0,0,0
"Benzene, 1,3-dichloro-",0,0,0,0,0,0,0,0,0.0039266637,0,0,0,0,0
"Benzene, 1,3,5-tri-tert-butyl-",0,0,0,0,0,0,0,0.00397789033333333,0,0.0018599709,0.0299492236,0,0,0
"Benzene, 1,4-dichloro-",0,0,0,0,0,0.00178132896666667,0,0,0,0,0,0,0,0.00228943826666667
"Benzene, 1,4-difluoro-",0,0,0,0.0134404713666667,0,0,0,0,0.0086911042,0,0,0,0,0
"Benzene, iodo-",0,0,0,0,0,0,0,0.001980619,0,0,0,0.00364933216666667,0,0
