"","D8d0","D8d1","D8d2","D8d3","D8d4","D8d5","D8d6","D8d9","D8d11","D8d13","D8d16","D8d18","D8d20","D8d24","D8d27","D8d31","D8d34","D8d39","D8d46","D8d53","D8d66","D8d72"
"1,2-Ethanediamine, N'-ethyl-N,N-dimethyl-",0,0,0,0.0257558684333333,0.0395956820666667,0.297734532,0,0.208580550066667,0,0,0.0124268105666667,0.0659869831,0,0,0.0370757382333333,0,0.0280073347333333,0.093289413,0,0.018225151,0,0.0793844025
"1,2-Ethanediol",0,0.2524480023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,2-Ethanediol, monoformate",0,0.0424951324666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,2,4-Trifluorobenzene",0,0.0823437246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,2,4-Trithiolane",0,0,0,0,0,0,0,0.0032934681,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,2,4,5-Tetroxane, 3,3,6,6-tetramethyl-",0,0,0,0,0.0162131405333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.69165457986667,0,0
"1,2,5-Thiadiazole",0,0,0,0,0,0,0.00414303633333333,0.0864004595333333,0.0090843713,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,3-Cyclopentadiene",0,0.00594973853333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,3-Diazine",0,0,0,0,0,0,0,0.0613059969666667,0.0208889011,0.0137077737333333,0,0,0,0,0,0,0,0,0,0,0,0
"1,3-Dioxolane",0,0,0,0.0074155261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0183418044,0,0,0
"1,3-Dioxolane, 2-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0301328321666667,0,0,0,0,0
"1,3-Octadiene",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0186956953,0
"1,3-Oxathiane",0,0,0,0,0,0,0,0.00673980913333333,0,0,0.00901977213333333,0,0,0,0,0,0,0,0,0,0,0
"1,3-Pentadiene",0,0,0,0,0,0,0,0,0,0,0,0,0.256542865766667,0,0,0,0,0,0,0,0,0
"1,3,2-Dioxaborolan-4-one, 2-ethyl-",0,0,0,0,0,0,0,0,0,0,0.0037357127,0,0.0135401990666667,0,0,0,0,0,0,0,0,0
"1,3,5-Triazine",0,0,0,0,0.0860530312,0.011004518,0.143710610266667,0.8922963023,0,0.0163210905333333,0,0,0,0,0,0,0,0,0,0,0,0
"1,3,5-Trifluorobenzene",0,0,0.3642440293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1,3,6-Trioxocane",0,0,0,0,0,0,0,0,0,0,0.0260707017333333,0,0,0,0,0,0,0,0,0,0,0
"1,3,6-Trioxocane, 2-methyl-",0,0,0,0,0,0,0.0121974152666667,0,0,0,0.0124575690333333,0.00703836883333333,0,0,0,0,0,0,0,0,0,0
"1,4-Cyclohexadiene, 1-methyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0220331426,0,0,0,0.195838781733333,0.339744381066667,0.253888827666667
"1,4-Dioxane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112165778433333,0,0.0403904379,0,0,0,0,0
